jahr,bezirk,ortsteil,leitung16,leitung50
2011,"Charlottenburg-Wilmersdorf","Charlottenburg",98,95
2011,"Charlottenburg-Wilmersdorf","Charlottenburg-Nord",94,75
2011,"Charlottenburg-Wilmersdorf","Grunewald",97,89
2011,"Charlottenburg-Wilmersdorf","Halensee",99,92
2011,"Charlottenburg-Wilmersdorf","Schmargendorf",99,88
2011,"Charlottenburg-Wilmersdorf","Westend",96,83
2011,"Charlottenburg-Wilmersdorf","Wilmersdorf",100,92
2011,"Friedrichshain-Kreuzberg","Friedrichshain",88,66
2011,"Friedrichshain-Kreuzberg","Kreuzberg",96,83
2011,"Lichtenberg","Alt-Hohenschönhausen",90,69
2011,"Lichtenberg","Falkenberg",85,71
2011,"Lichtenberg","Fennpfuhl",91,63
2011,"Lichtenberg","Friedrichsfelde",93,64
2011,"Lichtenberg","Karlshorst",92,78
2011,"Lichtenberg","Lichtenberg",90,72
2011,"Lichtenberg","Malchow",73,68
2011,"Lichtenberg","Neu-Hohenschönhausen",81,69
2011,"Lichtenberg","Rummelsburg",89,56
2011,"Lichtenberg","Wartenberg",69,55
2011,"Marzahn-Hellersdorf","Biesdorf",95,71
2011,"Marzahn-Hellersdorf","Hellersdorf",97,66
2011,"Marzahn-Hellersdorf","Kaulsdorf",93,69
2011,"Marzahn-Hellersdorf","Mahlsdorf",91,62
2011,"Marzahn-Hellersdorf","Marzahn",93,68
2011,"Mitte","Gesundbrunnen",97,86
2011,"Mitte","Hansaviertel",98,93
2011,"Mitte","Mitte",92,76
2011,"Mitte","Moabit",97,93
2011,"Mitte","Tiergarten",97,85
2011,"Mitte","Wedding",98,91
2011,"Neukölln","Britz",92,75
2011,"Neukölln","Buckow",96,78
2011,"Neukölln","Gropiusstadt",94,76
2011,"Neukölln","Neukölln",98,91
2011,"Neukölln","Rudow",94,74
2011,"Pankow","Blankenburg",79,50
2011,"Pankow","Blankenfelde",47,6
2011,"Pankow","Buch",85,57
2011,"Pankow","Französisch Buchholz",91,56
2011,"Pankow","Heinersdorf",98,62
2011,"Pankow","Karow",34,17
2011,"Pankow","Niederschönhausen",78,62
2011,"Pankow","Pankow",98,71
2011,"Pankow","Prenzlauer Berg",97,89
2011,"Pankow","Rosenthal",82,54
2011,"Pankow","Stadtrandsiedlung Malchow",83,14
2011,"Pankow","Weißensee",92,53
2011,"Pankow","Wilhelmsruh",96,91
2011,"Reinickendorf","Frohnau",98,78
2011,"Reinickendorf","Heiligensee",96,72
2011,"Reinickendorf","Hermsdorf",98,80
2011,"Reinickendorf","Konradshöhe",92,78
2011,"Reinickendorf","Lübars",97,71
2011,"Reinickendorf","Märkisches Viertel",96,69
2011,"Reinickendorf","Reinickendorf",97,82
2011,"Reinickendorf","Tegel",93,78
2011,"Reinickendorf","Waldmannslust",99,77
2011,"Reinickendorf","Wittenau",97,76
2011,"Spandau","Falkenhagener Feld",96,70
2011,"Spandau","Gatow",82,66
2011,"Spandau","Hakenfelde",85,70
2011,"Spandau","Haselhorst",96,78
2011,"Spandau","Kladow",71,67
2011,"Spandau","Siemensstadt",92,80
2011,"Spandau","Spandau",98,88
2011,"Spandau","Staaken",92,69
2011,"Spandau","Wilhelmsstadt",97,80
2011,"Steglitz-Zehlendorf","Dahlem",88,71
2011,"Steglitz-Zehlendorf","Lankwitz",99,79
2011,"Steglitz-Zehlendorf","Lichterfelde",96,81
2011,"Steglitz-Zehlendorf","Nikolassee",95,72
2011,"Steglitz-Zehlendorf","Steglitz",100,91
2011,"Steglitz-Zehlendorf","Wannsee",95,71
2011,"Steglitz-Zehlendorf","Zehlendorf",97,75
2011,"Tempelhof-Schöneberg","Friedenau",99,94
2011,"Tempelhof-Schöneberg","Lichtenrade",96,77
