date,"Hr. Reichelt","Fr. Guske","Hr. Reinheckel","Fr. Stamm","Fr. Schönfeld","Sabrina Petersen","Kerstin Nieber","Hr. Gödicke","Matthias Gallien","Hr. Reichenbächer","landeswahlleiterin@wahlen-berlin.de","Knud Möller","Daniel Roleff","Hr. Balzar","Hr. Wildenhof","Herr Beer","Markus Höht ","Farah Mitry","Dr. Petersohn","Jens Kandziora ","Frau Albrecht","Fr. Blanke","Herr Metzdorf","Hr. Meergans","Sylvia Hendrich, Thorsten Busse","Arwed Mallow","Hr. Kunath","Werner Arndt","Fr. Rust","Sebastian Askar","Büro des Bezirksbürgermeisters","Fr. Zwiebler","Fr. Dr. Schiewe","Fr. Wosnitzka","Daniel Tietze","Regina Lange","Lutz Meinert","Anette Leiner","Sylvia Huesmann-Hendrich, Thorsten Busse","Juliane Stamm","Dagmar Hänisch","Berlin.de","Klaus Loetsch","Angelika Herda","Michael Richert","Ralf Eberhardt","Stefan Eisermann","Hr. Haußwald","Herr Imme","Markus Breithaupt","Kathleen Lingner","Dr. Silvija Kavcic","Herr Brodersen","﻿kast@openstreetmap.de","Amt für Statistik Berlin-Brandenburg"
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0
2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,33,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,61,0,26,0,0,95
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,32,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,32,0,99,0,0,137
2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,27,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,41,0,39,0,0,97
2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,25,0,57,0,0,179
2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,50,0,62,0,0,147
2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,46,0,69,0,0,122
2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,25,0,32,0,0,53
2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,33,0,37,0,0,111
2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,20,0,0,0,0,9,38,0,0,0,0,0,0,0,102,31,0,39,13,0,128
2014-03-01,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,11,0,0,0,5,1,0,0,0,0,0,0,0,0,23,0,0,0,0,7,13,0,0,0,0,0,0,0,190,33,0,41,29,0,86
2014-04-01,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0,7,0,0,0,6,1,0,0,0,36,0,0,0,0,4,0,0,0,0,9,12,0,0,0,0,0,0,0,17,41,0,61,54,0,109
2014-05-01,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,2,0,0,0,18,2,0,0,0,15,0,0,0,0,2,0,0,0,0,17,5,10,0,0,0,0,0,0,17,29,0,33,64,110,448
2014-06-01,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,11,0,0,0,16,3,0,0,0,36,11,0,0,0,7,0,0,0,0,14,3,13,0,0,0,0,0,0,25,51,0,39,53,143,403
2014-07-01,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,3,0,0,14,0,0,0,26,8,0,0,0,30,37,0,0,0,3,0,0,0,0,9,29,39,0,0,0,0,0,0,12,49,0,57,39,215,384
2014-08-01,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,8,0,0,0,12,5,0,0,0,22,16,0,0,0,7,0,0,0,0,5,28,11,0,0,0,0,0,0,7,36,0,37,24,98,294
2014-09-01,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,11,0,0,0,21,7,0,0,0,11,25,0,0,0,10,0,0,0,0,16,27,27,42,0,0,0,0,0,16,28,0,28,53,102,338
2014-10-01,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,11,0,0,0,15,13,0,0,0,7,8,0,0,0,4,0,0,0,0,11,13,30,10,0,0,0,0,0,17,29,0,38,73,143,345
2014-11-01,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,8,0,0,0,16,3,0,0,0,7,9,0,0,0,5,0,0,0,0,8,3,13,29,0,0,0,0,0,17,32,0,23,75,121,314
2014-12-01,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,4,0,0,0,19,5,0,0,0,2,7,0,0,0,9,0,0,0,0,3,23,4,16,0,0,0,0,0,14,31,0,15,42,80,193
2015-01-01,0,0,0,0,0,31,0,0,0,0,4,0,0,0,0,0,0,5,0,0,4,0,0,0,17,5,0,67,0,3,28,0,0,0,9,0,0,0,0,7,8,4,40,0,0,0,0,0,11,33,0,43,63,125,392
2015-02-01,0,0,0,0,0,9,0,0,0,0,4,0,4,0,0,0,0,3,0,0,9,0,0,0,20,2,0,42,0,7,16,0,0,0,12,0,0,0,0,9,6,15,22,0,0,0,0,0,15,25,0,33,44,73,895
2015-03-01,0,0,0,0,0,2,0,0,0,0,10,0,1,0,0,0,0,1,0,0,7,0,0,0,17,11,0,38,0,4,1,0,0,0,9,20,0,0,0,7,5,7,9,0,12,0,0,0,17,41,0,38,48,70,910
2015-04-01,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,5,0,0,8,0,0,0,6,10,0,34,0,3,4,0,0,0,6,12,0,0,0,10,2,7,28,0,21,0,0,0,15,28,0,27,58,72,714
2015-05-01,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,6,0,0,0,15,6,0,21,0,2,8,0,0,0,5,7,0,0,0,7,3,3,44,0,7,0,0,0,10,70,95,23,78,77,774
2015-06-01,0,0,0,0,0,1,0,0,0,0,7,0,3,0,0,0,0,2,0,0,4,0,0,0,15,11,0,23,0,5,11,0,0,0,10,5,0,0,0,10,2,9,31,45,10,0,0,0,11,85,175,23,53,95,865
2015-07-01,0,0,0,0,0,3,11,0,0,0,6,0,1,0,0,0,0,3,0,0,7,0,0,0,3,11,0,18,0,9,8,0,0,0,13,13,0,0,0,10,0,12,23,36,5,0,0,0,8,44,141,24,37,94,639
2015-08-01,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,3,0,0,0,2,9,0,8,0,12,1,0,0,0,10,11,0,0,0,7,0,1,6,26,3,0,0,0,8,26,77,13,51,49,511
2015-09-01,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,3,10,0,14,0,2,18,0,0,0,9,16,0,0,0,6,0,3,7,10,3,0,0,0,9,23,80,22,45,72,554
2015-10-01,0,0,0,0,0,1,4,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,15,0,5,2,0,12,0,6,9,0,0,0,15,16,16,0,16,22,0,12,6,25,8,10,0,0,16,44,158,23,34,103,603
2015-11-01,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,48,0,3,3,0,13,0,9,6,0,0,0,26,8,36,0,26,10,0,9,14,12,13,11,4,0,17,18,96,23,47,120,675
2015-12-01,0,0,0,0,0,2,7,0,0,0,5,0,1,0,0,0,0,0,0,0,4,0,34,0,1,2,0,12,0,3,1,0,0,0,9,25,3,0,3,9,0,1,9,36,43,9,13,0,20,30,45,18,26,78,529
2016-01-01,0,0,0,0,0,2,16,0,0,0,5,0,2,0,0,0,0,1,0,0,6,0,15,0,0,4,0,12,0,4,16,0,0,0,14,17,5,0,4,5,25,6,5,7,15,117,11,0,26,37,68,21,15,101,712
2016-02-01,0,0,0,0,0,26,6,0,0,0,7,0,1,7,11,6,0,3,0,0,13,9,7,4,2,9,9,9,0,5,16,5,14,21,10,29,12,0,4,8,38,12,12,51,45,99,23,0,22,34,57,27,82,106,606
2016-03-01,0,0,0,0,0,4,9,0,0,0,11,0,1,14,8,10,0,2,0,0,5,6,6,9,3,5,19,1,0,4,6,5,33,36,9,5,7,0,2,6,17,6,7,16,14,30,12,0,37,26,47,46,59,93,918
2016-04-01,0,0,0,0,0,2,3,0,0,0,8,0,0,10,11,11,0,0,0,0,8,6,4,16,2,6,35,3,0,0,3,11,21,25,8,1,8,0,11,9,14,3,9,19,13,41,8,0,22,26,24,53,61,217,983
2016-05-01,0,0,0,0,0,2,4,0,0,0,7,0,2,10,8,19,0,0,0,0,4,7,5,16,3,5,19,5,0,0,6,12,14,26,9,5,10,0,108,7,18,3,6,18,24,33,27,0,55,17,36,67,54,124,830
2016-06-01,0,0,0,0,0,1,5,0,0,0,2,0,1,21,7,12,0,0,0,0,2,4,2,16,1,17,20,3,0,0,2,14,20,19,7,31,10,0,62,7,16,3,7,20,18,51,3,0,35,19,28,44,40,111,681
2016-07-01,0,0,0,0,0,0,4,0,0,0,9,0,0,7,3,16,0,0,0,0,2,6,3,12,0,6,19,1,0,1,2,11,8,11,5,22,11,0,42,5,15,5,38,29,20,22,11,0,19,26,19,39,45,132,518
2016-08-01,0,0,0,0,0,0,0,0,0,0,6,0,0,11,1,9,0,0,0,0,5,6,2,9,0,10,21,2,0,3,1,14,5,7,8,20,7,64,13,3,16,79,23,19,94,29,7,0,23,32,25,36,60,131,588
