id,label
39,vr
00,'
15,hrb
31,nr
01,-
14,hra
36,spr
28,kör
38,sör
48,vt
11,gbr
44,vr-009538
12,gnr
40,vr 002114
42,vr 030257
23,hrb 38393b
04,95 vr 25 826 b
03,25295nz
25,kein e. v.
17,hrb 110471
07,aör
24,hrb-126466
16,hrb 019047
02,25033 nz
41,vr 018329
06,az 3416/464 b3
37,spr100037
05,a
20,hrb 153069
08,de
13,hbr
46,vr:003311
47,vrn
09,eb
35,polit. gremium gem. § 15 kitafög benötigt keine re
43,vr 9361 nz
18,hrb 116329
21,hrb 158087
30,natürliche person
33,nz
22,hrb 171236
32,nr. 80 nz ag charlottenburg
10,entfällt
27,keine registriernummer
34,ohne
26,keine
45,vr-098747
29,kör 100058
19,hrb 134083
