L;11;Berlin
G;11;0;00;001;Mitte
G;11;0;00;002;Friedrichshain-Kreuzberg
G;11;0;00;003;Pankow
G;11;0;00;004;Charlottenburg-Wilmersdorf
G;11;0;00;005;Spandau
G;11;0;00;006;Steglitz-Zehlendorf
G;11;0;00;007;Tempelhof-Schöneberg
G;11;0;00;008;Neukölln
G;11;0;00;009;Treptow-Köpenick
G;11;0;00;010;Marzahn-Hellersdorf
G;11;0;00;011;Lichtenberg
G;11;0;00;012;Reinickendorf
O;11;0;00;001;0101;Mitte                         
O;11;0;00;001;0102;Moabit                        
O;11;0;00;001;0103;Hansaviertel                  
O;11;0;00;001;0104;Tiergarten                    
O;11;0;00;001;0105;Wedding                       
O;11;0;00;001;0106;Gesundbrunnen                 
O;11;0;00;002;0201;Friedrichshain                
O;11;0;00;002;0202;Kreuzberg                     
O;11;0;00;003;0301;Prenzlauer Berg               
O;11;0;00;003;0302;Weißensee                     
O;11;0;00;003;0303;Blankenburg                   
O;11;0;00;003;0304;Heinersdorf                   
O;11;0;00;003;0305;Karow                         
O;11;0;00;003;0306;Stadtrandsiedlung Malchow     
O;11;0;00;003;0307;Pankow                        
O;11;0;00;003;0308;Blankenfelde                  
O;11;0;00;003;0309;Buch                          
O;11;0;00;003;0310;Französisch Buchholz          
O;11;0;00;003;0311;Niederschönhausen             
O;11;0;00;003;0312;Rosenthal                     
O;11;0;00;003;0313;Wilhelmsruh                   
O;11;0;00;004;0401;Charlottenburg                
O;11;0;00;004;0402;Wilmersdorf                   
O;11;0;00;004;0403;Schmargendorf                 
O;11;0;00;004;0404;Grunewald                     
O;11;0;00;004;0405;Westend                       
O;11;0;00;004;0406;Charlottenburg-Nord           
O;11;0;00;004;0407;Halensee                      
O;11;0;00;005;0501;Spandau                       
O;11;0;00;005;0502;Haselhorst                    
O;11;0;00;005;0503;Siemensstadt                  
O;11;0;00;005;0504;Staaken                       
O;11;0;00;005;0505;Gatow                         
O;11;0;00;005;0506;Kladow                        
O;11;0;00;005;0507;Hakenfelde                    
O;11;0;00;005;0508;Falkenhagener Feld            
O;11;0;00;005;0509;Wilhelmstadt                  
O;11;0;00;006;0601;Steglitz                      
O;11;0;00;006;0602;Lichterfelde                  
O;11;0;00;006;0603;Lankwitz                      
O;11;0;00;006;0604;Zehlendorf                    
O;11;0;00;006;0605;Dahlem                        
O;11;0;00;006;0606;Nikolassee                    
O;11;0;00;006;0607;Wannsee                       
O;11;0;00;007;0701;Schöneberg                    
O;11;0;00;007;0702;Friedenau                     
O;11;0;00;007;0703;Tempelhof                     
O;11;0;00;007;0704;Mariendorf                    
O;11;0;00;007;0705;Marienfelde                   
O;11;0;00;007;0706;Lichtenrade                   
O;11;0;00;008;0801;Neukölln                      
O;11;0;00;008;0802;Britz                         
O;11;0;00;008;0803;Buckow                        
O;11;0;00;008;0804;Rudow                         
O;11;0;00;008;0805;Gropiusstadt                  
O;11;0;00;009;0901;Alt-Treptow                   
O;11;0;00;009;0902;Plänterwald                   
O;11;0;00;009;0903;Baumschulenweg                
O;11;0;00;009;0904;Johannisthal                  
O;11;0;00;009;0905;Niederschöneweide             
O;11;0;00;009;0906;Altglienicke                  
O;11;0;00;009;0907;Adlershof                     
O;11;0;00;009;0908;Bohnsdorf                     
O;11;0;00;009;0909;Oberschöneweide               
O;11;0;00;009;0910;Köpenick                      
O;11;0;00;009;0911;Friedrichshagen               
O;11;0;00;009;0912;Rahnsdorf                     
O;11;0;00;009;0913;Grünau                        
O;11;0;00;009;0914;Müggelheim                    
O;11;0;00;009;0915;Schmöckwitz                   
O;11;0;00;010;1001;Marzahn                       
O;11;0;00;010;1002;Biesdorf                      
O;11;0;00;010;1003;Kaulsdorf                     
O;11;0;00;010;1004;Mahlsdorf                     
O;11;0;00;010;1005;Hellersdorf                   
O;11;0;00;011;1101;Friedrichsfelde               
O;11;0;00;011;1102;Karlshorst                    
O;11;0;00;011;1103;Lichtenberg                   
O;11;0;00;011;1104;Falkenberg                    
O;11;0;00;011;1106;Malchow                       
O;11;0;00;011;1107;Wartenberg                    
O;11;0;00;011;1109;Neu-Hohenschönhausen          
O;11;0;00;011;1110;Alt-Hohenschönhausen          
O;11;0;00;011;1111;Fennpfuhl                     
O;11;0;00;011;1112;Rummelsburg                   
O;11;0;00;012;1201;Reinickendorf                 
O;11;0;00;012;1202;Tegel                         
O;11;0;00;012;1203;Konradshöhe                   
O;11;0;00;012;1204;Heiligensee                   
O;11;0;00;012;1205;Frohnau                       
O;11;0;00;012;1206;Hermsdorf                     
O;11;0;00;012;1207;Waidmannslust                 
O;11;0;00;012;1208;Lübars                        
O;11;0;00;012;1209;Wittenau                      
O;11;0;00;012;1210;Märkisches Viertel            
O;11;0;00;012;1211;Borsigwalde
