Bezirk;Name des Vorhabens;Kostenpunkt (Euros)
Charlottenburg- Wilmersdorf;Planung eines Radwegs in der Kantstraße;487.90
Charlottenburg- Wilmersdorf;Sanierung des Hohenzollerndamms (Südseite im Bereich Julius-Morgenroth-Platz - Einmündung Brienner Straße);33123.42
Charlottenburg- Wilmersdorf;Planung Sa. Radwege Detmolder Str;5712.00
Charlottenburg- Wilmersdorf;Beschaffung und Einbau von Fahrradbügeln;40233.90
Charlottenburg- Wilmersdorf;Sa. RVA Jugendverkehrsschule Loschmidtstr;31841.73
Charlottenburg- Wilmersdorf;Sa. RVA Jugendverkehrsschule Bundesallee;19230.43
Friedrichshain-Kreuzberg;Blücherstr. (Brachvogelstr.-Zossener Str.);12642.16
Friedrichshain-Kreuzberg;Zossener Str. (Blücherstr.-Johanniterstr.);7453.45
Friedrichshain-Kreuzberg;Zweirichtungsradweg Friedenstraße;33179.37
Friedrichshain-Kreuzberg;Rad- und Gehweg im Zuge der Wannseeroute zw. Wilhelmstraße und Stresemannstr;24224.14
Friedrichshain-Kreuzberg;Asphaltierung Mariannenstraße zw. Skalitzer str und Reichenberger Str.;3298.22
Friedrichshain-Kreuzberg;Sanierung des Radwegs in der Möckernstraße;41720.98
Friedrichshain-Kreuzberg;Sanierung des Radwegs in der Frankfurter Allee;66946.68
Friedrichshain-Kreuzberg;Sanierung des Radwegs Yorckstr. - südl Seite;40709.46
Friedrichshain-Kreuzberg;Errichtung Fahrradabstellanlagenan J.-Liebig- Grundschule +Verkehrsfläche;15063.84
Friedrichshain-Kreuzberg;Sanierung d. Radwegs in der Frankfurter Allee von der Proskauer...;33987.48
Lichtenberg;Sanierung RVA in der Siegfriedstraße;65566.26
Lichtenberg;Herstellung einer Stellfläche für Fahrradständer Treskowallee/Hegemeisterweg;5245.44
Lichtenberg;Sanierung der RVA in der Frankfurter Allee 144;16776.63
Lichtenberg;Errichtung Fahrradabstellanlagen;14713.47
Lichtenberg;Errichtung von Fahrradabstellanlagen- Verkehrsflächen am S-Bhf. Rummelsburg;5003.95
Lichtenberg;San 2Teilabschnitte der Fahrradstraße Zobtener Str...;37343.84
Marzahn-Hellersdorf;Planung Sanierung Radweg TR7;49532.42
Marzahn-Hellersdorf;Planung Sanierung Radweg BitterfelderStr;8796.77
Marzahn-Hellersdorf;Sanierung der Radverkehrsanlagen in der Wuhletalstraße;96512.25
Marzahn-Hellersdorf;Sanierung der RVA in der Wolfener Str./ Wuhletalstraße nördl.Seite;79848.40
Marzahn-Hellersdorf;Sanierung von Verkehrsflächen in der Jugendverkehrsschule Erich-Kästner-Str.;31858.76
Marzahn-Hellersdorf;Errichtung von Fahrradabstellanlagen + Verkehrsflächen;25248.48
Mitte;Stromstraße (südl. Essener Str.);105903.98
Mitte;Stromstraße (nördl. Essener Str.);83397.26
Neukölln;Planung Radfahrstreifen in der Karl-Marx-Str;16518.13
Neukölln;Herrichtung von Abstellanlagen und Verkehrsfächen;55692.60
Pankow;Querungshilfe Rennbahnstraße;48548.25
Pankow;Schutzstreifen Kniprodestraße;40521.44
Reinickendorf;Sa. RVA Jugendverkehrsschule Aroser Allee;87852.84
Reinickendorf;Sa. RVA Jugendverkehrsschule Senftenberger Ring;82044.94
Reinickendorf;Errichtung von Fahrradabstellanlagen + dazugehörigen Verkehrsflächen;32237.10
Spandau;Falkenseer Ch. zw.Recklinghauser Weg -Mühlheimer Str;46491.34
Spandau;Falkenseer Ch. zw.Nr.247c-Siegener Str;65903.92
Spandau;Falkenseer Ch. zw.Siegener Str - Recklinghauser Weg;60948.76
Spandau;Sanierung Radweg nördl. Heerstr. zw. Wilhelmstr und Gatower Str;1896.15
Spandau;Sanierung Radweg südl. Heerstr. zw. Wilhelmstr und Gatower Str;47803.33
Spandau;Ruhlebener Straße zw. Pichelswerderstraße;42361.93
Spandau;Planung Sanierung Radweg Charlottenburger Chaussee;10852.80
Spandau;Planungkosten für die Sanierung der Radwege Siemensdamm und Nonnendammallee;8806.00
Spandau;Sanierung RVA W-v-Siemens-Park;72734.00
Spandau;Sanierung RVA in der Grünanlage Spektefeld;112749.17
Spandau;Errichtung von Fahrradabstellanlagen + dazugehörigen Verkehrsflächen;45269.11
Steglitz-Zehlendorf;Kamenzer Damm;15212.73
Steglitz-Zehlendorf;Malteserstraße;24639.87
Steglitz-Zehlendorf;Paul-Schwarz-Promenade;1377.43
Steglitz-Zehlendorf;San. des Radwegs Nieritzweg (div.Abschnitte);84663.04
