page,group,count
geometrien-der-wahlbezirke-für-die-bundestagswahl-berlin-2017,"geometrien-der-wahlbezirke-für-die-bundestagswahl-berlin-2017,geometrien-der-wahlbezirke-für-diebundestagswahl-berlin-2017",166
baumbestand-berlin-wms,"baumbestand-berlin-wms,baumbestand-berlin-wms-1,baumbestand-berlin-wms-0",132
denkmalkarte-berlin-wms,"denkmalkarte-berlin-wms,denkmalkarte-berlin-wms-0",109
liste-der-häufigen-vornamen-2013,"liste-der-häufigen-vornamen-2013,liste-der-häufigen-vornamen-2016,liste-der-häufigen-vornamen-2012,liste-der-häufigen-vornamen-2015,liste-der-häufigen-vornamen-2023,liste-der-häufigen-vornamen-2010,liste-der-häufigen-vornamen-2007,liste-der-häufigen-vornamen-2017,liste-der-häufigen-vornamen-2014,liste-der-häufigen-vornamen-2001,liste-der-häufigen-vornamen-2000,liste-der-häufigen-vornamen-2003,liste-der-häufigen-vornamen-2011,liste-der-häufigsten-vornamen-2017,liste-der-häufigen-vornamen-2009,liste-der-häufigen-vornamen-2008,list-der-häufigsten-vornamen-2017,liste-der-häufigen-vornamen-1947,liste-der-haeufigen-vornamen-2016,liste-der-häufigen-vornamen-1984,liste-der-häufigen-vornamen-1950,liste-der-häufigen-vornamen-1980,liste-der-hauftigsten-vornamen-2016,liste-der-haeuftigsten-vornamen-2016",100.52352941176471
openstreetmap-daten-für-berlin,"openstreetmap-daten-für-berlin,open-streetmap-daten-für-berlin,openstreetmapdaten-für-berlin",67.82539682539682
vbb-fahrplandaten-august-bis-oktober-2014,"vbb-fahrplandaten-august-bis-oktober-2014",64
lod2-gebäudedaten-berlin,"lod2-gebäudedaten-berlin,lod1-gebäudedaten-berlin",59
finanzamt-atlas-berlin,"finanzamt-atlas-berlin,finanzamt-atlas-berlin-0",53.03174603174603
liste-der-badestellen-badegewässerqualität,"liste-der-badestellen-badegewässerqualität,liste-der-badestellen-badegewäA4sserqualität,liste-der-badestellen-badegewÃ¤sserqualitÃ¤t,liste-der-badestellen-badegewässerqualität.rdf",50.65079365079365
vbb-fahrplan2012,"vbb-fahrplan2012,vbb-fahrplan-2012,vbb-fahrplan2013,vbb-fahrplan2014,vbb-fahrplan-2013,vbb-fahrplan-2014,vbb-fahrplan-2016,vbb-fahrplan-2015",47.595238095238095
