id,label
248,"AWO Arbeiterwohlfahrt Berlin, Kreisverband Südost e. V."
8127,Vereinigung der Vietnamesen in Berlin & Brandenburg e. V.
2078,Diakoniewerk Simeon gGmbH
872,Beratungszentrum bei Ess-Störungen DICK & DÜNN e. V.
3729,Himmel & Erde Pankow e.V
3923,ImPULS e. V.
5054,Lesbians aus der Türkei Berlin-Brandenburg e. V.
5608,Neue Gesellschaft für Bildende Kunst e. V.
8085,Verein zur Förderung der Kommunikation unter Gropiusstädter Frauen e. V.
4076,"Internationaler Bund (IB) Freier Träger der Jugend-, Sozial- und Bildungsarbeit"
92,ABC Zentrum Berlin e. V.
8723,casablanca gGmbH
2086,Diakonisches Werk Tempelhof-Schöneberg e. V.
00,!K7 Records GmbH
03,'Das Futterhaus' - Berlin GmbH & Co. KG
05,'GIRASOLES - SONNENBLUMEN' e. V.
3514,Grips-Theater gGmbH
4449,Kiek in e. V. Berlin
09,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
4881,LYRA e. V. Verein zur Integration von Aussiedlern und Spätaussiedlern
10,'Merkur' e. V. Berlin f. soziale Arbeit
5616,Neuer Berliner Kunstverein e. V.
8906,gemeinnützige Unternehmergesellschaft 'Roter Baum' Berlin (haftungsbeschränkt)
11,'Sonnenkäferwelt e. V.'
12,'Theater Thikwá' - Verein zur Förderung der Zusammenarbeit 'behinderter' und 'nichtbehinderter' Schauspieler und Schauspielerinnen e. V.
13,'Wildfang' Kinder gGmbH
14,'Wunderinsel' gGmbH
01,#BIKEYGEES e. V.
8589,]init[ Aktiengesellschaft für digitale Kommunikation
15,+49 group GmbH
33,1. Verein für Leichtathletik Fortuna Marzahn e. V.
16,1. Berliner Bogenschützen e. V.
17,1. Berliner Skateboard-Verein e. V.
18,1. FC Besiktas Berlin 2000 e. V.
19,1. FC Lübars e. V.
34,1.FC Schöneberg 1913 e. V.
20,1. FC Wilmersdorf 1911 e. V.
21,1. Friedrichshainer BUDO - Club 90 e. V.
24,1. Fußball Club Besiktas Berlin 2000 e. V.
25,1. Fußball Club Union Berlin e. V.
26,1. Fußball-Club Lübars e. V.
28,1. Fußball-Club Schöneberg 1913 e. V.
23,"1. Fussball-Club Wacker 1921, Lankwitz e. V."
30,1. Spandauer Tauchsportclub Lobster e. V.
31,1. Squashverein Pankow e. V.
35,1.Fußball Club Wacker 1921 Lankwitz
38,1000shapes GmbH
39,10START GmbH
40,1219 Deutsche Stiftung für interreligiösen und interkulturellen Dialog e. V.
41,14 Kilometers - the shortest distance between North Africa and Europe e. V.
44,24Insights GmbH
46,2wheels4u GmbH
45,2txt - natural language generation UG (haftungsbeschränkt)
48,36. Deutscher Evangelischer Kirchentag Berlin 2017 e. V.
49,360dialog GmbH
50,3AM project berlin e. V.
51,3B Pharmaceuticals GmbH
55,3d-berlin vr solutions GmbH
56,3pc GmbH Neue Kommunikation
52,3R LifeScience GmbH
53,3S Antriebe GmbH
54,3YOURMIND GmbH
5689,O.R.G Systems UG (haftungsbeschränkt)
