id,label
235,"AWO Arbeiterwohlfahrt Berlin, Kreisverband Südost e. V."
876,Berliner Arbeitslosenzentrum BALZ e. V.
7636,Vereinigung der Vietnamesen in Berlin & Brandenburg e. V.
825,Beratungszentrum bei Ess-Störungen DICK & DÜNN e. V.
2985,Förderverein Lokale Agenda 21 Treptow-Köpenick e. V.
2789,Freunde alter Menschen e. V.
3519,Himmel & Erde Pankow e.V
3702,ImPULS e. V.
4746,Lesbians aus der Türkei Berlin-Brandenburg e. V.
5244,Neue Gesellschaft für Bildende Kunst e. V.
7596,Verein zur Förderung der Kommunikation unter Gropiusstädter Frauen e. V.
3846,"Internationaler Bund (IB) Freier Träger der Jugend-, Sozial- und Bildungsarbeit"
87,ABC Zentrum Berlin e. V.
8197,casablanca gGmbH
1964,Diakonisches Werk Tempelhof-Schöneberg e. V.
00,!K7 Records GmbH
01,'BürSte' Bürger für den Stephankiez in Mitte e. V.
02,'Das Futterhaus' - Berlin GmbH & Co. KG
03,'Die Arche' Christliches Kinder- und Jugendwerk e. V.
1982,Die Hilfsbereitschaft e. V.
05,'Gesicht zeigen!' Für ein weltoffenes Deutschland e. V.
04,'GIRASOLES - SONNENBLUMEN' e. V.
3315,Grips-Theater gGmbH
4188,Kiek in e. V. Berlin
06,'Kiek in' e. V. Berlin
07,'Kindergärten City' Eigenbetrieb von Berlin
08,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
4584,LYRA e. V. Verein zur Integration von Aussiedlern und Spätaussiedlern
4990,MegaWATT Ingenieurgesellschaft für Wärme- und Energietechnik mbH
09,'Merkur' e. V. Berlin f. soziale Arbeit
5251,Neuer Berliner Kunstverein e. V.
8364,gemeinnützige Unternehmergesellschaft 'Roter Baum' Berlin (haftungsbeschränkt)
10,'Sonnenkäferwelt e. V.'
11,'Theater Thikwá' - Verein zur Förderung der Zusammenarbeit 'behinderter' und 'nichtbehinderter' Schauspieler und Schauspielerinnen e. V.
12,'Wildfang' Kinder gGmbH
13,'Wunderinsel' gGmbH
66,@baeumer Unternehmensentwicklung
8079,]init[ Aktiengesellschaft für digitale Kommunikation
14,+49 group GmbH
32,1. Verein für Leichtathletik Fortuna Marzahn e. V.
15,1. Berliner Bogenschützen e. V.
16,1. Berliner Skateboard-Verein e. V.
17,1. FC Besiktas Berlin 2000 e. V.
18,1. FC Lübars e. V.
33,1.FC Schöneberg 1913 e. V.
19,1. FC Wilmersdorf 1911 e. V.
20,1. Friedrichshainer BUDO - Club 90 e. V.
21,1. Friedrichshainer Budo-Club ´90 e. V.
23,1. Fußball Club Besiktas Berlin 2000 e. V.
24,1. Fußball Club Union Berlin e. V.
25,1. Fußball-Club Lübars e. V.
26,1. Fußball-Club Marzahn 94 e. V.
27,1. Fußball-Club Schöneberg 1913 e. V.
22,"1. Fussball-Club Wacker 1921, Lankwitz e. V."
28,1. Köpenicker Drachenboot e. V.
29,1. Spandauer Tauchsportclub Lobster e. V.
30,1. Squashverein Pankow e. V.
31,1. Traber-Fußball Club Mariendorf e. V.
34,1.Fußball Club Wacker 1921 Lankwitz
35,1.SV Galatasaray Berlin e. V.
36,1000eyes GmbH
37,1000shapes GmbH
38,10START GmbH
39,1219. Deutsche Stiftung für interreligösen und interkulturellen Dialog. E. V.
40,14 Kilometers - the shortest distance between North Africa and Europe e. V.
41,23 Nisan e. V.
42,24 Std. KiBe 'Die wilden Knallerbsen' e.V.
43,24Insights GmbH
44,2heels4u GmbH
45,2txt - natural language generation UG (haftungsbeschränkt)
7167,Tischtennisclub berlin eastside e. V.
46,3 B Pharmaceuticals GmbH
47,36. Deutscher Evangelischer Kirchentag Berlin 2017 e. V.
