id,label
616,20803
608,2008001427
30384,Schuldnerberatung - Mahlower Straße
16134,Förderung der Integration und Partizipation der vietnamesischen Mitbürger in Berlin
31889,Stadtteilmütter in Neukölln
10593,Dünn e. V.
6524,Baul. Maßnahme - Schaffung von Plätzen- Kitaausbauprogramm - Kindertagesstätte Himmel & Erde Pankow e. V.
31759,Sprachschulungen für aktive Gropiusstädter
24442,Miteinander - Füreinander. Diskriminierungsfreie Szenen für alle!
33158,"Treffpunkt für Lesben, Schwule und Transgender, insbesondere aus der Türkei"
22201,Kunst im Untergrund 'Was ist draußen'
21056,Kinderbildungscafe
30920,Service Learning
3452,Ausbildungsplatzprogramm 2008
3475,Ausbildungsplatzprogramm 2009 Plus (Land) Z. 2 RAV
3478,Ausbildungsplatzprogramm 2010 Plus (ESF) Verbund
3479,Ausbildungsplatzprogramm 2010 Plus (Land) Verbund
30076,Sachmittel für freiwilliges Engagement in Nachbarschaften
12895,Erziehungs- und Familienberatungsstellen
33722,Umstellung auf cloud-basierte Software 'details' mit Schulung
32364,Subculture Berlin 80's
22565,Landeszuschuss für KMU - Lohnkostenzuschuss für 'Das Futterhaus' - Berlin GmbH & Co. KG
22566,Landeszuschuss für KMU - Lohnkostenzuschuss für 'GIRASOLES - SONNENBLUMEN' e. V.
22567,Landeszuschuss für KMU - Lohnkostenzuschuss für 'GIRASOLES - SONNENBLUMEN' e.V.
23171,Lohnkostenzuschuss für 'GIRASOLES - SONNENBLUMEN' e.V.
31535,Spielbetrieb Grips-Theater
31537,Spielbetrieb des Grips-Theaters
15622,Frauenzentren - Nachbarschaftshilfe für Frauen Hellersdorf
2379,Anish Kapoor Retrospektive
2705,Art and Architecture of Ideology (AT)
3576,Ausstellung Johannes Itten/Paul Klee
9690,Das große Nature Theater Of Oklahoma ruft Euch!
18205,Horst Antes
27662,Projekt 'AiWeiWei'
31503,Speaking in Tongues / Zungenrede (AT) – begehbare Videoinstallation des Künstlers Aernout Mik
32822,The Whole Earth
13372,FAV - Hilfskraft im Bereich der Unterstützung bei Hausmeistertätigkeit und handwerklichen Hilfsarbeiten
13848,FAV - Technische Mitarbeit und Bürohilfe
18114,Hilfskraft im Bereich der Unterstützung bei Hausmeistertätigkeit und handwerklichen Hilfsarbeiten
19090,Integrationsassistenten für Migrantengruppen
32648,Technische Mitarbeit und Bürohilfe
34152,Unterstützung ehrenamtlicher Arbeit in der KULTSchule
22379,Kältehilfe-Wärmestube und Notübernachtung
22331,Kältehilfe 2016
22332,Kältehilfe 2017
26273,Notübernachtung und Wärmestube
19844,Iskele. Zur Polyphonie transnationaler Räume
21695,Konzeptwerkstatt
32116,Stipendiatenausstellung 2013
34650,Verleihung Hannah-Höch-Preis 2013
2041,Aktionsfonds Hellersdorf
10283,DiveRCity - Jugendkulturen in Hellersdorf
31549,Spielend Lernen im Bunten Haus
8720,Bunter Haus-Familien stärken
14445,Familienangebote im Quartier 5 % Schlusszahlung für 2012
2080,Aktionsfonds im LAP Hellersdorf-Nord und -Ost 2014
37283,diveRcity - Noch einmal bitte
31551,Spielend Lernen im Buten Haus
8724,Buntes Haus - Familien stärken
17956,Helle Familie
8723,Buntes Haus
6518,Baul. Maßnahme - Schaffung von Plätzen- Kitaausbauprogramm - Kindergarten Sonnenkäfer
6434,Basisförderung
9890,Der diskrete Charme der Bourgeoisie
6554,Baul. Maßnahme - Schaffung von Plätzen- Kitaausbauprogramm - Wildfang Kindergarten
6558,Baul. Maßnahme -Schaffung von Plätzen - Kitaausbauprogramm
38124,Öffentlichkeitsarbeit und Beschaffung
