id,label
548,20803
541,2008001427
26991,Schuldnerberatung - Mahlower Straße
19414,Koordination und Anleitung v. Selbsthilfegruppen
14437,Förderung der Integration und Partizipation der vietnamesischen Mitbürger in Berlin
9474,Dünn e. V.
33922,Öffentlichkeitsarbeit im Rahmen des Lokalen Agenda Prozesses; Einsatz des Agenda Mobils; Umgestaltung Medienraum im Freilandlabor Kaniswall
19470,Koordinierung ehrenamtl. Besuchsd.
5832,Baul. Maßnahme - Schaffung von Plätzen- Kitaausbauprogramm - Kindertagesstätte Himmel & Erde Pankow e. V.
28213,Sprachschulungen für aktive Gropiusstädter
21678,Miteinander - Füreinander. Diskriminierungsfreie Szenen für alle!
29435,"Treffpunkt für Lesben, Schwule und Transgender, insbesondere aus der Türkei"
19780,Kunst im Untergrund 'Was ist draußen'
18769,Kinderbildungscafe
27473,Service Learning
3133,Ausbildungsplatzprogramm 2008
3156,Ausbildungsplatzprogramm 2009 Plus (Land) Z. 2 RAV
3159,Ausbildungsplatzprogramm 2010 Plus (ESF) Verbund
3160,Ausbildungsplatzprogramm 2010 Plus (Land) Verbund
26718,Sachmittel für freiwilliges Engagement in Nachbarschaften
11505,Erziehungs- und Familienberatungsstellen
29969,Umstellung auf cloud-basierte Software 'details' mit Schulung
28753,Subculture Berlin 80's
17695,Investitionszuschuss im Rahmen der GRW
8131,Bürgerbeteiligung nach Aufhebung des Sanierungsgebietes Stephankiez und Projekt 'Containerleben'
20086,Landeszuschuss für KMU - Lohnkostenzuschuss für 'Das Futterhaus' - Berlin GmbH & Co. KG
30394,Unterstützung im haustechnischen Bereich
449,1. Berliner Engagementswoche
3299,Auswertung Ergebnisse des Berliner FreiwilligenSurvey
26478,Runde Tische BE
96,'Deine Freiheit ist auch meine Freiheit- Ein Demokratisierungsprojekt gegen Islamismus'
669,7x jung. Dein Trainingsplatz für Zusammenarbeit und Respekt
21283,Meine Freiheit ist auch deine Freiheit - Ein demokratisierungsprojekt gegen Islamismus
20087,Landeszuschuss für KMU - Lohnkostenzuschuss für 'GIRASOLES - SONNENBLUMEN' e. V.
20088,Landeszuschuss für KMU - Lohnkostenzuschuss für 'GIRASOLES - SONNENBLUMEN' e.V.
28008,Spielbetrieb Grips-Theater
28010,Spielbetrieb des Grips-Theaters
28007,Spielbetrieb
33262,für den Spielbetrieb des Grips-Theaters
28014,Spielbetrieb des Theaters
5963,Begleitende Tätigkeiten der Vernetzung von sozialen Angeboten im Stadtteil
19439,Koordinator im Nachbarschaftshaus 'Kiek in' II Mitarbeiter NBH)
19440,"Koordinator/in im Nachbarschaftshaus 'Kiek in', ebenda"
19445,Koordinatorin Nachbarschaftshaus 'Kiek in' (Empfang)
30125,Unterstützende Bürotätigkeiten im Stadtteilzentrum Marzahn Nord-West
30376,Unterstützung hauswirtschaftliche Tätigkeiten im Stadtteilzentrum Marzahn Nord-West
1954,Aktive Senioren im Nachbarschaftshaus
1958,Aktivierung betagter Menschen in häuslicher Umgebung
2908,"Ausbau der Beratungs- und Gruppenangebote für Frauen in Problemlagen, insbesondere Seniorinnen"
8526,Concierge im Nachbarschaftshaus
