jahr,geber,politikbereich,betrag,plz,name,zweck,empfaengertyp,empfaengerid
2014,05,21,625000,161,248,30384,36,1615
2014,18,14,32050,46,8127,16134,36,1431
2017,05,14,248200,166,2078,31889,15,5372
2015,23,12,138116,124,872,10593,36,923
2015,20,15,76460,297,3729,6524,36,3155
2016,05,04,6607,213,3923,31759,36,2403
2014,18,01,20000,113,5054,24442,36,2252
2014,18,01,60000,113,5054,33158,36,2252
2015,16,18,85000,154,5608,22201,36,499
2016,05,08,2499,213,8085,21056,36,741
2016,05,15,15363,213,8085,30920,36,741
2013,18,02,169144,315,4076,3452,36,613
2013,18,02,550,315,4076,3475,36,613
2013,18,02,24850,315,4076,3478,36,613
2013,18,02,38874,315,4076,3479,36,613
2016,04,23,1750,261,92,30076,36,1787
2016,04,23,980,282,8723,30076,15,3655
2016,20,15,225888,166,2086,12895,36,1606
2014,14,18,5000,301,00,33722,15,3719
2016,14,18,4900,301,00,32364,15,3719
2015,18,02,3733,364,03,22565,28,4583
2016,18,02,1866,364,03,22565,28,4583
2015,18,02,3118,364,05,22566,36,2038
2016,18,02,4173,364,05,22567,36,2038
2017,27,02,707,364,05,23171,36,2038
2013,16,18,2863000,77,3514,31535,15,889
2014,16,18,2863000,77,3514,31537,15,889
2013,18,11,32650,264,4449,15622,36,1487
2013,16,18,195000,143,09,2379,15,2831
2013,16,18,30000,143,09,2705,15,2831
2013,16,18,90000,143,09,3576,15,2831
2013,16,18,100000,143,09,9690,15,2831
2013,16,18,30000,143,09,18205,15,2831
2013,16,18,50000,143,09,27662,15,2831
2013,16,18,31000,143,09,31503,15,2831
2013,16,18,100000,143,09,32822,15,2831
2016,18,02,2384,46,4881,13372,36,1804
2016,18,02,2263,46,4881,13848,36,1804
2016,18,02,2781,46,4881,18114,36,1804
2016,18,02,9205,46,4881,19090,36,1804
2016,18,02,8803,46,4881,32648,36,1804
2017,27,02,1589,46,4881,18114,36,1804
2017,27,02,34213,46,4881,19090,36,1804
2017,27,02,1964,46,4881,34152,36,1804
2014,02,21,25000,273,10,22379,36,1765
2015,02,21,30000,273,10,22379,36,1765
2016,02,21,30000,273,10,22331,36,1765
2017,02,21,30000,273,10,22332,36,1765
2013,02,21,28125,273,10,26273,36,1765
2013,16,18,100000,08,5616,19844,36,500
2013,16,18,30000,08,5616,21695,36,500
