jahr,geber,politikbereich,betrag,plz,name,zweck,empfaengertyp,empfaengerid
2014,05,20,625000,152,235,26991,39,1564
2011,23,20,22934,359,876,19414,39,691
2014,16,13,32050,45,7636,14437,39,1389
2015,20,11,138116,118,825,9474,39,898
2010,11,17,14675,229,2985,33922,00,6103
2011,23,20,17970,135,2789,19470,39,1183
2015,17,14,76460,283,3519,5832,39,3016
2016,05,04,6607,203,3702,28213,39,2314
2014,16,01,20000,107,4746,21678,39,2174
2014,16,01,60000,107,4746,29435,39,2174
2015,15,17,85000,145,5244,19780,39,494
2016,05,07,2499,203,7596,18769,39,725
2016,05,14,15363,203,7596,27473,39,725
2013,16,02,169144,301,3846,3133,39,604
2013,16,02,550,301,3846,3156,39,604
2013,16,02,24850,301,3846,3159,39,604
2013,16,02,38874,301,3846,3160,39,604
2016,04,23,1750,248,87,26718,39,1729
2016,04,23,980,268,8197,26718,15,3427
2016,17,14,225888,157,1964,11505,39,1556
2014,14,17,5000,287,00,29969,15,3488
2016,14,17,4900,287,00,28753,15,3488
2009,29,28,2960,73,00,17695,15,3488
2010,04,23,20000,74,01,8131,00,6103
2011,04,23,10000,74,01,8131,39,2485
2015,16,02,3733,348,02,20086,31,4312
2016,16,02,1866,348,02,20086,31,4312
2010,23,02,3182,240,03,30394,00,6103
2011,23,20,10000,08,1982,449,39,948
2011,23,20,3100,08,1982,3299,39,948
2011,23,20,5000,08,1982,26478,39,948
2010,23,13,10000,31,05,96,00,6103
2010,23,13,19800,31,05,669,00,6103
2011,23,01,65000,31,05,21283,00,6103
2015,16,02,3118,348,04,20087,39,1970
2016,16,02,4173,348,04,20088,39,1970
2010,15,17,2728000,73,3315,28008,15,865
2013,15,17,2863000,73,3315,28008,15,865
2014,15,17,2863000,73,3315,28010,15,865
2011,15,17,2752000,73,3315,28007,15,865
2012,15,17,50000,73,3315,33262,15,865
2012,15,17,2863000,73,3315,28014,15,865
2011,23,02,9210,251,4188,5963,39,1443
2011,23,02,3654,251,4188,19439,39,1443
2011,23,02,6264,251,4188,19440,39,1443
2011,23,02,3654,251,4188,19445,39,1443
2011,23,02,6754,251,4188,30125,39,1443
2011,23,02,6754,251,4188,30376,39,1443
2012,16,02,8170,251,4188,1954,39,1443
2012,16,02,6248,251,4188,1958,39,1443
2012,16,02,8250,251,4188,2908,39,1443
2012,16,02,11052,251,4188,5963,39,1443
2012,16,02,23464,251,4188,8526,39,1443
2012,16,02,6754,251,4188,11044,39,1443
2012,16,02,6754,251,4188,11045,39,1443
2012,16,02,1044,251,4188,19440,39,1443
2012,16,10,71000,251,4188,13983,39,1443
2013,16,10,32650,251,4188,13983,39,1443
2010,29,10,53250,251,06,13983,00,6103
2011,29,10,35130,251,4188,13983,39,1443
2012,16,02,38804,34,07,2878,00,6103
2010,23,02,113298,34,07,2876,00,6103
2010,23,02,6835,34,07,2877,00,6103
2010,23,02,262569,34,07,2879,00,6103
2011,23,02,100723,34,07,2878,00,6103
2011,23,02,1119,34,07,2879,00,6103
2011,23,02,89097,34,07,2880,00,6103
2012,15,17,100000,97,08,23837,15,2716
2010,15,17,25000,97,08,16386,15,2716
2010,15,17,200000,97,08,16393,15,2716
2010,15,17,110000,97,08,16395,15,2716
2010,15,17,55000,97,08,31391,15,2716
2011,15,17,2000,135,08,29087,15,2716
2012,15,17,25000,135,08,2173,15,2716
2012,15,17,150000,135,08,2471,15,2716
2012,15,17,13000,135,08,15018,15,2716
2012,15,17,20000,135,08,16265,15,2716
2012,15,17,50000,135,08,17765,15,2716
2012,15,17,130000,135,08,22520,15,2716
2012,15,17,250000,135,08,23396,15,2716
2013,15,17,195000,135,08,2174,15,2716
2013,15,17,30000,135,08,2471,15,2716
2013,15,17,90000,135,08,3241,15,2716
2013,15,17,100000,135,08,8713,15,2716
2013,15,17,30000,135,08,16265,15,2716
2013,15,17,50000,135,08,24511,15,2716
2013,15,17,31000,135,08,27981,15,2716
2013,15,17,100000,135,08,29134,15,2716
2016,16,02,2384,45,4584,11963,39,1745
2016,16,02,2263,45,4584,12439,39,1745
2016,16,02,2781,45,4584,16185,39,1745
2016,16,02,9205,45,4584,17005,39,1745
2016,16,02,8803,45,4584,28996,39,1745
2012,28,28,20000,145,4990,16989,15,3392
2014,02,20,25000,260,09,19921,39,1708
2015,02,20,30000,260,09,19921,39,1708
2016,02,20,30000,260,09,19881,39,1708
2012,02,20,3640,260,09,23270,39,1708
2013,02,20,28125,260,09,23270,39,1708
2010,15,17,870,08,5251,14118,39,495
2013,15,17,100000,08,5251,17703,39,495
2013,15,17,30000,08,5251,19329,39,495
2013,15,17,38275,08,5251,28525,39,495
2013,15,17,30000,08,5251,30807,39,495
2011,15,17,20000,08,5251,3249,39,495
2011,15,17,30000,08,5251,30805,39,495
2013,03,14,15000,00,8364,1888,15,5090
2013,03,14,17875,00,8364,9201,15,5090
2013,03,14,22500,00,8364,28022,15,5090
2013,03,23,33000,00,8364,7831,15,5090
2013,03,23,3164,00,8364,12993,15,5090
2014,03,14,15000,00,8364,1912,15,5090
2014,03,14,17575,00,8364,33162,15,5090
2014,03,14,30000,00,8364,28024,15,5090
2014,03,23,33000,00,8364,7835,15,5090
2014,03,23,9416,00,8364,16043,15,5090
2014,16,02,8145,240,8364,7834,15,5090
2015,17,14,52398,239,10,5826,39,2541
2010,15,17,90000,145,11,5745,39,1316
2011,15,17,90000,145,11,5745,39,1316
2012,15,17,90000,145,11,5745,39,1316
2012,15,17,4060,145,11,26231,39,1316
2012,15,17,10000,145,11,30729,39,1316
2013,15,17,130000,145,11,5745,39,1316
2013,15,17,37000,145,11,8872,39,1316
2010,30,17,112500,136,11,32656,39,1316
2015,17,14,122133,12,12,5862,15,5006
2016,17,14,196000,83,13,5866,15,5962
2012,16,02,25610,10,66,17020,00,6103
2009,23,02,13206,10,66,17019,00,6103
2010,23,02,41923,10,66,17019,00,6103
2011,23,02,43034,10,66,17020,00,6103
2011,29,28,10500,143,8079,21006,15,3640
2012,28,28,135250,143,8079,17695,15,3640
2012,28,28,196875,143,8079,32010,15,3640
2013,28,28,20000,143,8079,10022,15,3640
2013,28,28,20000,143,8079,10718,15,3640
2013,28,28,3838,143,8079,12780,15,3640
2013,28,28,872500,143,8079,17695,15,3640
2009,29,28,15690,143,8079,17695,15,3640
2010,29,28,533690,143,8079,17695,15,3640
2013,28,28,1494390,73,14,17695,15,5187
2015,22,21,6770,418,32,19539,39,1194
2011,09,21,800,353,15,32580,39,471
2010,22,21,1364,370,15,19542,00,6103
2011,22,21,647,370,15,19542,00,6103
2012,22,21,1547,370,15,19542,00,6103
2013,22,21,383,370,15,19542,39,471
2014,22,21,430,370,15,19542,39,471
2015,22,21,398,370,15,19542,39,471
2016,22,21,475,370,15,19542,39,471
2016,22,21,2729,104,16,21076,39,637
2014,22,21,1137,330,17,19542,39,2039
2014,22,21,5910,311,18,19542,39,443
2016,22,21,4249,311,18,19542,39,443
2011,10,21,764,172,33,26216,39,384
2013,10,21,2000,120,33,32998,39,384
2011,22,21,3459,95,19,19542,00,6103
2012,22,21,3459,95,19,19542,00,6103
2013,22,21,2656,94,19,19542,39,508
2014,22,21,4079,94,19,19542,39,508
2015,22,21,3645,94,19,19542,39,508
2016,22,21,4830,94,19,19542,39,508
2014,22,21,362,263,20,19542,39,1390
2016,22,21,250,263,20,19542,39,1390
2010,22,21,385,263,21,19542,00,6103
2011,22,21,339,263,21,19542,00,6103
2012,22,21,339,263,21,19542,00,6103
2013,22,21,288,263,20,19542,39,1390
2015,22,21,370,263,20,19542,39,1390
2013,22,21,944,330,23,19542,00,6103
2015,22,21,1300,330,17,19542,39,2039
2015,22,21,7723,228,24,19540,39,1019
2011,11,21,1000,228,24,13080,39,1019
2013,11,17,2410,228,24,34026,39,1019
2013,11,21,500,228,24,13751,39,1019
2016,17,04,88320,228,24,24487,39,1019
2010,22,21,4100,228,24,19539,39,1019
2010,22,21,8367,228,24,19540,39,1019
2010,22,21,11752,228,24,19542,39,1019
2011,22,21,4100,228,24,19539,00,6103
2011,22,21,8356,228,24,19540,00,6103
2011,22,21,16466,228,24,19542,00,6103
2012,22,21,4100,228,24,19539,39,1019
2012,22,21,8356,228,24,19540,39,1019
2012,22,21,16466,228,24,19542,39,1019
2013,22,21,4100,228,24,19539,39,1019
2013,22,21,8511,228,24,19540,39,1019
2013,22,21,15951,228,24,19542,39,1019
2014,22,21,4100,228,24,19539,39,1019
2014,22,21,7860,228,24,19540,39,1019
2014,22,21,22184,228,24,19542,39,1019
2015,22,21,23168,228,24,19542,39,1019
2016,22,21,5321,228,24,19539,39,1019
2016,22,21,7705,228,24,19540,39,1019
2016,22,21,24884,228,24,19542,39,1019
2012,17,04,19200,228,24,24612,39,1019
2013,17,04,54400,228,24,24612,39,1019
2014,17,04,83413,228,24,24486,39,1019
2010,22,21,4505,311,25,19542,00,6103
2011,22,21,4432,311,25,19542,00,6103
2012,22,21,4432,311,25,19542,00,6103
2013,22,21,4320,311,25,19542,00,6103
2015,22,21,4595,311,18,19542,39,443
2010,22,21,1260,251,26,19542,00,6103
2011,22,21,1500,251,26,19542,00,6103
2012,22,21,1500,251,26,19542,00,6103
2013,22,21,812,120,27,19542,00,6103
2015,22,21,1848,120,33,19542,39,384
2015,22,21,4513,228,24,19539,39,1019
2014,22,21,2676,193,22,19542,39,344
2016,22,21,2604,193,22,19542,39,344
2009,11,21,400,223,28,29084,39,2251
2010,22,21,558,320,29,19542,00,6103
2011,22,21,543,320,29,19542,00,6103
2012,22,21,543,320,29,19542,00,6103
2013,22,21,479,320,29,19542,39,630
2014,22,21,601,320,29,19542,39,630
2015,22,21,642,320,29,19542,39,630
