id,label
05,Bezirksamt Neukölln
23,"Senatsverwaltung für Integration, Arbeit und Soziales"
16,"Senatsverwaltung für Arbeit, Integration und Frauen"
20,Senatsverwaltung für Gesundheit und Soziales
11,Bezirksamt Treptow-Köpenick
17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft"
15,Senatskanzlei - Kulturelle Angelegenheiten -
04,Bezirksamt Mitte
14,Regierender Bürgermeister - Senatskanzlei -
29,"Senatsverwaltung für Wirtschaft, Technologie und Frauen"
28,"Senatsverwaltung für Wirtschaft, Technologie und Forschung"
02,Bezirksamt Lichtenberg
03,Bezirksamt Marzahn-Hellersdorf
30,Stiftung Deutsche Klassenlotterie Berlin
22,Senatsverwaltung für Inneres und Sport
09,Bezirksamt Steglitz-Zehlendorf
10,Bezirksamt Tempelhof-Schöneberg
12,"Die/Der Beauftragte für Kirchen, Religions- und Weltanschauungsgemeinschaften"
07,Bezirksamt Reinickendorf
18,"Senatsverwaltung für Bildung, Wissenschaft und Forschung"
26,Senatsverwaltung für Stadtentwicklung
27,Senatsverwaltung für Stadtentwicklung und Umwelt
25,Senatsverwaltung für Justiz und Verbraucherschutz
00,Bezirksamt Charlottenburg-Wilmersdorf
21,"Senatsverwaltung für Gesundheit, Umwelt und Verbraucherschutz"
08,Bezirksamt Spandau
06,Bezirksamt Pankow
01,Bezirksamt Friedrichshain-Kreuzberg
24,Senatsverwaltung für Justiz
13,Landesbeauftragter für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR
19,Senatsverwaltung für Finanzen
