Bezirk;Name des Vorhabens;Kostenpunkt (Euros)
Charlottenburg-Wilmersdorf;Windscheidstr.;7735
Charlottenburg-Wilmersdorf;Goerdeler Damm zwischen Jakob-Kaiser-Platz u. Seestr. Erstellung BPU;29512
Charlottenburg-Wilmersdorf;Rönnestr. zw. Dernburgstr. Und Stuttgarter Platz;8330
Charlottenburg-Wilmersdorf;TR 5 zw. Friedrichshaller Str. u. Warnemünder Str.;1090.18
Friedrichshain-Kreuzberg;BVG Finanzierung Gitschiner Str. und Skalitzer Str. westlich Kottbusser Tor;387682.88
Friedrichshain-Kreuzberg;Gitschiner Str. und Skalitzer Str. westlich Kottbusser Tor;58660.88
Friedrichshain-Kreuzberg;Mariannenstr. zw. Skalitzer Str. u. Kottbusser Brücke Erstellung BPU;11841.1
Friedrichshain-Kreuzberg;Warschauer Str. v. Warschauer Brücke bis Frankfurter Tor;211278.19
Lichtenberg;Seefelder Str. und Knotenbereich Wartenberger Str./ Malchower Weg Erstellung BPU;4338.86
Lichtenberg;Fahrradroute durch die KGA Bielefeldt zw. Rüdigerstr. und Rhinstr.;27105.96
Lichtenberg;Hegemeisterweg zw. Rummelsburger Landstr. und Gleyeweg;6545
Marzahn-Hellersdorf;Radweg östlich parallel zur Wuhle;6711.6
Marzahn-Hellersdorf;Anbindung der Fahrradroute TR6 u. TR7 (Rampen zur Brücke Bitterfelder Str.u. Querung Grünanlage Ludwig- Renn-Str. bis Max-Herrmann-Str. Erstellung BPU;12854.07
Marzahn-Hellersdorf;Allee der Kosmonauten zw. Eitelstr. U. Elisabethstr. Erstellung PU;28485.6
Marzahn-Hellersdorf;Alt-Kaulsdorf;135.01
Mitte;Reinickendorfer Str. zwischen Plantagenstr. und Bezirksgrenze;74239.25
Mitte;Stülerstr. und Budapester Str.;83660.49
Mitte;Hansa-Ufer zw. Tile-Wardenberg-Str. und Levetzowstr.;892.5
Pankow;Danziger Straße zwischen Prenzlauer Alle und Landsberger Alle;37804.73
Reinickendorf;Eichborndamm zw. Waldstr. u. Pannwitzstr.;47171.83
Spandau;Zeppelinstr. südl. Spekteweg / Nauener Str.;105882.75
Spandau;Heerstraße zw. Landesgrenze bis Reimerweg;20825
Steglitz-Zehlendorf;Projektsteuerung Fahrradabstellablagen (Zwischenfinanzierung BENE-Förderung);27320.17
Steglitz-Zehlendorf;Knotenpunkt Königsberger Str./Lankwitzer Str./Oberhofer Weg und Königsberger Str./Morgensternstr.-Jungfernstieg;20145.61
Treptow-Köpenick;Am Wiesenweg von der Bruno-Taut-Str. bis zur Straße Am Falkenberg;3933.62
Summe Bezirke;Alle Vorhaben Bezirksämter;1224182.28
SenUVK;Rad-u. Gehweg zwischen Quickborner Str. u. Wilhelmsruher Damm, Berliner Mauerweg 2. BA E 4 Nord;96477.14
SenUVK;Rad- u. Gehweg zwischen Klemkestr. Und Kopenhagener Str.;128563.03
SenUVK;Sonstiges, Steuerung;494380.93
SenUVK;Erstellung von BPU für fünf GA-Radwege;98535.61
SenUVK;Verlagerung Radabstellanlage vor dem Bahnhof Ostkreuz;2136.29
SenUVK;Unterquerung der Tegeler Brücke und der Fennbrücke;4062.51
SenUVK;Radwege an der B 109 in Pankow;3851.3
Hauptkonto;Alle Vorhaben Andere Baulastträger;828006.81
Summe 72016;Alle Vorhaben;2052189.09
