Bezirk;Planungsraum;2015;20 16;2017
Charlottenburg-Wilmersdorf;Bezirk insgesamt;3557;314;3075
Charlottenburg-Wilmersdorf;Karl-August-Platz;221;210;178
Charlottenburg-Wilmersdorf;Ernst-Reuter-Platz;217;180;162
Charlottenburg-Wilmersdorf;Amtsgerichtsplatz;141;126;133
Charlottenburg-Wilmersdorf;Babelsberger Straße;134;87;119
Charlottenburg-Wilmersdorf;Halensee;134;88;116
Friedrichshain-Kreuzberg;Bezirk insgesamt;4043;4095;3877
Friedrichshain-Kreuzberg;Graefekiez;449;384;407
Friedrichshain-Kreuzberg;Samariterviertel;350;353;288
Friedrichshain-Kreuzberg;Chamissokiez;208;231;270
Friedrichshain-Kreuzberg;Urbanstraße;251;211;243
Friedrichshain-Kreuzberg;Boxhagener Platz;281;237;221
Lichtenberg;Bezirk insgesamt;164;1721;1455
Lichtenberg;Rüdigerstraße;229;209;171
Lichtenberg;Weitlingstraße;194;221;163
Lichtenberg;Karlshorst Süd;107;121;89
Lichtenberg;Frankfurter Allee Süd;107;135;88
Lichtenberg;Karlshorst West;46;66;87
Marzahn-Hellersdorf;Bezirk insgesamt;759;810;781
Marzahn-Hellersdorf;Alt-Kaulsdorf;61;66;71
Marzahn-Hellersdorf;Adele-Sandrock-Straße;47;47;64
Marzahn-Hellersdorf;Biesdorf Süd;48;64;57
Marzahn-Hellersdorf;Alt-Mahlsdorf;76;71;56
Marzahn-Hellersdorf;Alt-Biesdorf;31;40;49
Mitte;Bezirk insgesamt;4261;4541;3931
Mitte;Oranienburger Straße;200;302;216
Mitte;Alexanderplatzviertel;290;315;215
Mitte;Invalidenstraße;197;267;215
Mitte;Arkonaplatz;200;232;179
Mitte;Charitéviertel;205;237;158
Neukölln;Bezirk insgesamt;2095;1834;1953
Neukölln;Reuterkiez;337;302;288
Neukölln;Rixdorf;312;248;227
Neukölln;Flughafenstraße;116;145;137
Neukölln;Schillerpromenade;86;108;136
Neukölln;Donaustraße;129;114;103
Pankow;Bezirk insgesamt;4145;4236;3666
Pankow;Pankow Zentrum;595;445;421
Pankow;Pankow Süd;307;330;302
Pankow;Humannplatz;360;374;294
Pankow;Helmholtzplatz;309;303;274
Pankow;Arnimplatz;230;227;218
Reinickendorf;Bezirk insgesamt;1006;1084;939
Reinickendorf;Hermsdorf;100;131;96
Reinickendorf;Frohnau;80;108;94
Reinickendorf;Teichstraße;65;87;63
Reinickendorf;Hausotterplatz;51;43;61
Reinickendorf;Alt-Tegel;92;89;60
Spandau;Bezirk insgesamt;851;935;1151
Spandau;Borkumer Straße;119;130;148
Spandau;Carl-Schurz-Straße;116;158;131
Spandau;Adamstraße;37;48;80
Spandau;Rohrdamm;45;36;74
Spandau;Ackerstraße;27;27;62
Steglitz-Zehlendorf;Bezirk insgesamt;2301;2352;2138
Steglitz-Zehlendorf;Zehlendorf Mitte;353;380;298
Steglitz-Zehlendorf;Schloßstraße;177;153;163
Steglitz-Zehlendorf;Markelstraße;129;129;122
Steglitz-Zehlendorf;Nikolassee;117;90;114
Steglitz-Zehlendorf;Fischerhüttenstraße;119;111;93
Tempelhof-Schöneberg;Bezirk insgesamt;2664;2782;2546
Tempelhof-Schöneberg;Friedenau;345;298;337
Tempelhof-Schöneberg;Nollendorfplatz;160;170;229
Tempelhof-Schöneberg;Kaiser-Wilhelm-Platz;222;205;210
Tempelhof-Schöneberg;Dennewitzplatz;143;176;183
Tempelhof-Schöneberg;Neu-Tempelhof;148;198;181
Treptow-Köpenick;Bezirk insgesamt;1851;2471;1764
Treptow-Köpenick;Bölschestraße;203;227;162
Treptow-Köpenick;Elsenstraße;181;200;150
Treptow-Köpenick;Baumschulenstraße;95;141;131
Treptow-Köpenick;Schnellerstraße;97;119;118
Treptow-Köpenick;Adlershof West;95;126;106
NA;unbekannt in Berlin;239;258;231
NA;Gesamtergebnis;29412;30259;27507
