date,"Landesdenkmalamt Berlin","Jugendamt Lichtenberg","Bezirksamt Tempelhof-Schöneberg","DBpedia.org","SenWTF","Berliner Wasserbetriebe, Organisationseinheit: Wasserversorgung","Stadtentwicklungsamt Neukölln -FB Stadtplanung-","Landesamt für Gesundheit und Soziales","Senatsverwaltung für Integration, Arbeit und Soziales","Senatsverwaltung für Arbeit, Integration und Frauen","Gedenkstätte Deutscher Widerstand","SenWiTechForsch","Bezirksamt Treptow-Köpenick, Büro des Bezirksbürgermeisters","VBB - Verkehrsverbund Berlin-Brandenburg GmbH ","Bezirksamt Friedrichshain-Kreuzberg, Finanzservice","Verkehrslenkung Berlin","Berlin.de","Senatskanzlei – Kulturelle Angelegenheiten"," VBB - Verkehrsverbund Berlin-Brandenburg GmbH ","Senatsverwaltung für Gesundheit und Soziales von Berlin","Berliner Umweltportal","Bezirksamt Lichtenberg - Stadtentwicklungsamt","Bezirksamt Charlottenburg-Wilmersdorf von Berlin, Umwelt- und Naturschutzamt","Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin","Senatsverwaltung für Bildung, Jugend und Wissenschaft","Senatsverwaltung für Wirtschaft, Energie und Betriebe","BerlinOnline Stadtportal GmbH & Co KG","LAGeSo","Landesdenkmalamt","Bezirksamt Lichtenberg","Bezirksamt Steglitz-Zehlendorf - Jugendamt","Stromnetz Berlin GmbH","Jugendamt Marzahn-Hellersdorf","Senatsverwaltung für Gesundheit und Soziales Berlin","Berliner Stadtreinigung (BSR)","Koordinierungsstelle Stolpersteine Berlin","Senatsverwaltung für Gesundheit, Pflege und Gleichstellung Berlin","Senatsverwaltung für Stadtentwicklung und Umwelt","Senatsverwaltung für Stadtentwicklung und Wohnen Berlin","Senatsverwaltung für Stadtentwicklung","Senatsverwaltung für Finanzen","openstreetmap.org","Senatsverwaltung für Wirtschaft, Technologie und Forschung","Landesamt für Bürger- und Ordnungsangelegenheiten","VBB - Verkehrsverbund Berlin-Brandenburg GmbH","Amt für Statistik Berlin-Brandenburg"
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,70,0,112,137,0,82,0,323,0
2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,36,0,156,127,0,151,0,342,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,19,0,0,0,26,0,61,0,156,108,0,132,0,299,95
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,13,0,0,0,99,0,32,0,117,57,0,119,0,243,137
2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,14,0,0,0,39,0,41,0,119,97,0,128,0,336,97
2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,13,0,0,45,57,0,25,0,71,73,0,106,0,254,179
2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,19,0,0,26,62,0,50,0,63,65,0,127,0,322,147
2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,9,0,0,18,69,0,86,0,46,63,0,106,0,269,122
2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,24,0,0,0,11,0,0,5,0,0,18,32,0,58,0,33,31,0,68,0,254,53
2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,30,0,0,0,19,0,0,8,0,0,18,37,0,57,0,63,75,0,88,0,336,111
2014-02-01,0,0,43,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,24,0,0,0,9,38,0,14,0,102,13,39,13,60,0,59,73,0,97,401,296,128
2014-03-01,0,0,9,0,0,0,0,5,0,0,15,0,0,0,18,0,0,0,0,23,0,0,0,0,6,0,0,0,7,13,0,6,0,190,12,41,29,51,0,68,39,0,72,111,274,86
2014-04-01,0,0,4,0,0,0,0,6,0,0,57,0,0,0,15,0,0,0,0,4,0,0,0,0,10,36,0,0,9,12,0,3,0,17,11,61,54,64,0,95,52,0,80,62,349,131
2014-05-01,0,0,10,0,0,0,0,18,0,0,17,0,0,0,6,0,0,0,0,2,0,0,0,0,4,15,0,0,17,5,0,4,0,17,17,33,64,47,0,93,50,110,95,109,292,453
2014-06-01,0,0,6,0,0,0,0,16,0,0,9,0,11,49,14,0,0,0,0,7,0,0,0,0,7,36,0,0,14,3,0,12,0,25,9,39,53,85,0,82,60,143,64,62,275,404
2014-07-01,0,0,6,0,0,0,0,26,0,0,22,0,37,164,25,0,0,0,0,3,0,0,0,0,3,30,0,0,9,29,0,16,0,12,9,57,39,73,0,112,90,215,126,103,156,389
2014-08-01,0,0,6,0,0,0,0,12,0,0,14,0,16,139,14,0,0,0,0,7,0,0,0,0,9,22,0,0,5,28,0,16,0,7,8,37,24,52,0,146,53,98,112,66,155,297
2014-09-01,0,0,4,0,0,0,0,21,0,0,7,0,25,48,26,0,0,0,0,10,0,0,0,0,6,11,0,0,16,27,0,19,0,16,5,28,53,40,0,76,114,102,59,69,125,341
2014-10-01,0,0,2,0,0,0,0,15,0,0,3,0,8,18,18,0,0,0,0,4,0,0,0,0,3,7,0,0,11,13,0,20,0,17,42,38,73,46,0,69,77,143,70,86,316,348
2014-11-01,0,0,2,0,0,0,0,16,0,0,15,0,9,7,11,0,0,0,0,5,0,0,0,0,9,7,0,0,8,3,0,7,0,17,16,23,75,54,0,40,112,121,86,101,238,317
2014-12-01,0,0,2,0,0,0,0,19,0,0,6,0,7,7,6,0,0,0,168,9,0,0,0,0,2,2,0,0,3,23,0,7,0,14,4,15,42,51,0,27,69,80,64,87,150,194
2015-01-01,0,0,3,0,0,0,0,17,0,0,9,0,28,0,7,0,31,0,132,9,0,0,0,0,7,3,0,0,7,8,0,13,0,11,15,43,63,118,0,51,101,125,64,104,75,396
2015-02-01,0,0,6,0,0,0,0,20,0,0,8,0,16,0,10,0,9,0,29,12,0,0,0,0,6,7,0,0,9,6,0,9,0,15,16,33,44,86,0,53,98,73,65,87,69,899
2015-03-01,0,0,2,0,0,0,0,17,0,0,9,0,1,0,9,0,2,0,21,9,0,20,12,0,11,4,0,0,7,5,0,19,0,17,19,38,48,100,0,42,73,70,70,97,79,920
