all,mean,median
2114,422.8,552
615,19.838709677419356,0
190,95,95
6322,100.34920634920636,106
1305,20.714285714285715,3
274,8.838709677419354,0
173,28.833333333333332,10.5
89,17.8,0
5084,282.44444444444446,223.5
241,7.774193548387097,0
3379,62.574074074074076,55
84,42,42
61,30.5,30.5
35,0.625,0
49,24.5,24.5
2941,46.682539682539684,45
1448,23.737704918032787,0
2271,36.62903225806452,35.5
154,77,77
1082,17.737704918032787,0
43,21.5,21.5
2207,35.03174603174603,32
164,7.130434782608695,4
2115,33.57142857142857,30
34,17,17
2242,59,42.5
638,13.020408163265307,10
80,40,40
72,12,8.5
1494,29.294117647058822,27
34,17,17
937,14.873015873015873,12
54,9,7.5
27,0.42857142857142855,0
65,32.5,32.5
571,9.844827586206897,0
2751,43.666666666666664,36
2177,145.13333333333333,31
31,15.5,15.5
420,6.666666666666667,0
542,20.846153846153847,18.5
57,28.5,28.5
967,17.267857142857142,17
942,16.24137931034483,0
47,23.5,23.5
72,36,36
267,33.375,32
250,3.9682539682539684,0
20,10,10
318,12.23076923076923,12
20,1.5384615384615385,0
79,2.5483870967741935,0
197,39.4,38
50,2.6315789473684212,0
331,7.355555555555555,4
32,1.032258064516129,0
67,1.4565217391304348,0
57,14.25,17.5
111,12.333333333333334,15
73,12.166666666666666,14
701,17.525,20
1224,19.428571428571427,16
763,21.194444444444443,11.5
17,3.4,0
115,1.8253968253968254,0
1051,33.903225806451616,38
29,2.0714285714285716,1
1925,30.555555555555557,20
73,36.5,36.5
19,9.5,9.5
17,0.5483870967741935,0
31,3.1,1
295,5.784313725490196,0
123,24.6,18
69,2.225806451612903,0
1486,24.766666666666666,23
2,0.06451612903225806,0
155,11.923076923076923,10
198,3.413793103448276,0
1222,42.13793103448276,29
230,4.6,3
18,9,9
13,0.2549019607843137,0
733,12.01639344262295,9
60,0.9523809523809523,0
342,13.153846153846153,10.5
424,8.48,8
13,1.3,0
14,7,7
369,11.903225806451612,11
17,1.7,0
351,5.571428571428571,5
920,17.358490566037737,8
13,0.4482758620689655,0
14,7,7
147,4.741935483870968,0
38,1.2258064516129032,0
353,11.387096774193548,12
133,10.23076923076923,9
199,4.061224489795919,0
60,1.1764705882352942,0
53,13.25,9.5
512,8.827586206896552,5.5
621,12.42,8
15,7.5,7.5
9,4.5,4.5
11,2.2,0
550,23.91304347826087,17
51,1.6451612903225807,0
886,22.15,8
282,10.071428571428571,2
103,34.333333333333336,20
2599,41.25396825396825,21
530,8.412698412698413,6
837,20.414634146341463,10
38,2,0
182,11.375,6
343,18.05263157894737,4
192,3.0476190476190474,1
409,10.225,11
27,6.75,8
75,10.714285714285714,6
256,11.636363636363637,12
396,7.2,6
548,10.339622641509434,9
955,16.1864406779661,11
274,34.25,13.5
9,0.2,0
268,5.056603773584905,5
9,1.8,0
69,2.225806451612903,0
142,6.173913043478261,3
8,0.8,0
933,15.048387096774194,14
345,5.476190476190476,3
274,12.454545454545455,10.5
675,13.5,5
175,12.5,8.5
173,11.533333333333333,13
107,1.6984126984126984,0
13,6.5,6.5
593,32.94444444444444,8
585,10.086206896551724,8
37,3.7,4.5
131,2.0793650793650795,0
74,10.571428571428571,6
5,0.7142857142857143,0
5,0.8333333333333334,0
16,0.8888888888888888,0
8,0.12698412698412698,0
130,21.666666666666668,13
47,7.833333333333333,7.5
207,12.9375,6
204,8.16,7
138,2.1904761904761907,0
222,4.188679245283019,4
613,11.566037735849056,11
361,12.033333333333333,11
42,7,7
73,7.3,6
6,0.375,0
32,4,4
309,4.904761904761905,0
40,0.6349206349206349,0
34,0.6415094339622641,0
4,0.09523809523809523,0
13,1.8571428571428572,1
115,1.8253968253968254,0
230,8.214285714285714,6
9,1.5,0
5,0.12195121951219512,0
18,0.2857142857142857,0
276,15.333333333333334,12.5
37,0.9736842105263158,0
13,1.8571428571428572,0
22,11,11
45,0.7142857142857143,0
71,2.2903225806451615,0
23,0.7419354838709677,0
17,2.4285714285714284,2
6,0.8571428571428571,0
252,9,0
384,9.142857142857142,4.5
6,0.5,0
597,19.258064516129032,19
167,15.181818181818182,4
5,0.07936507936507936,0
99,4.5,3
377,7.25,5
12,0.3870967741935484,0
30,4.285714285714286,4
416,8.32,6.5
31,1,0
14,0.2222222222222222,0
7,0.20588235294117646,0
4,0.0975609756097561,0
51,0.9272727272727272,0
153,3.825,0
156,6,6
5,0.7142857142857143,0
471,7.596774193548387,0
76,1.2459016393442623,1
76,2.4516129032258065,1
5,1,0
25,2.7777777777777777,2
29,5.8,4
10,0.3225806451612903,0
505,10.1,7
220,3.492063492063492,3
9,0.9,0
46,4.181818181818182,3
491,7.7936507936507935,6
11,1.8333333333333333,2
44,11,10
110,4.782608695652174,2
4,0.5714285714285714,0
291,6.767441860465116,5
434,15.5,14
42,10.5,8.5
3,0.1111111111111111,0
1145,19.74137931034483,0
28,0.5283018867924528,0
135,6.428571428571429,5
525,13.125,0
93,4.65,4
459,7.524590163934426,7
795,12.619047619047619,9
4,0.18181818181818182,0
25,0.5,0
3,0.23076923076923078,0
7,0.12727272727272726,0
25,0.8064516129032258,0
80,1.951219512195122,1
550,12.790697674418604,11
79,1.58,1.5
22,0.44,0
118,7.866666666666666,3
145,2.457627118644068,1
3,0.75,0
18,6,5
3,0.12,0
333,47.57142857142857,17
59,4.214285714285714,4
4,0.08888888888888889,0
4,0.06349206349206349,0
34,0.68,0
672,16.390243902439025,5
9,0.5625,0
73,1.46,1
10,0.15873015873015872,0
149,6.7727272727272725,4
103,3.3225806451612905,1
15,0.2830188679245283,0
4,0.21052631578947367,0
65,1.0655737704918034,1
34,0.68,0
3,0.047619047619047616,0
78,3.12,3
51,0.8095238095238095,0
4,1,0
360,9,3.5
558,13.95,13
88,1.6603773584905661,1
144,9.6,8
44,1.1,0
80,1.3114754098360655,1
9,0.75,0.5
62,10.333333333333334,11
100,1.5873015873015872,0
15,0.2830188679245283,0
39,0.639344262295082,0
8,0.25806451612903225,0
48,0.7868852459016393,0
2,0.06451612903225806,0
11,0.7857142857142857,0
56,1.0566037735849056,0
17,0.32075471698113206,0
458,7.896551724137931,6
40,0.8,1
36,0.6792452830188679,0
157,10.466666666666667,8
25,4.166666666666667,0
27,0.5094339622641509,0
296,24.666666666666668,5.5
5,0.8333333333333334,0.5
25,0.4716981132075472,0
217,7.482758620689655,6
5,0.09433962264150944,0
68,1.36,1
189,3.6346153846153846,3
3,0.047619047619047616,0
84,1.5849056603773586,1
75,1.2295081967213115,1
75,7.5,2.5
440,8.979591836734693,6
3,0.0967741935483871,0
147,9.8,9
42,0.7924528301886793,0
125,2.5,2
389,7.339622641509434,4
38,1.2258064516129032,0
7,0.22580645161290322,0
28,4.666666666666667,3.5
64,10.666666666666666,9
64,1.6,1
876,14.360655737704919,12
360,12.857142857142858,7
3,1.5,1.5
3,0.047619047619047616,0
245,4.622641509433962,2
30,0.47619047619047616,0
9,0.14285714285714285,0
3,0.09090909090909091,0
162,2.7457627118644066,0
3,0.0967741935483871,0
4,0.12903225806451613,0
70,1.1111111111111112,0
48,1,0
3,0.16666666666666666,0
23,0.4339622641509434,0
32,0.5079365079365079,0
6,0.11320754716981132,0
3,0.42857142857142855,0
904,18.08,5
51,0.8360655737704918,0
316,5.3559322033898304,5
19,2.111111111111111,1
64,1.0491803278688525,0
192,6.193548387096774,2
10,1.6666666666666667,1.5
285,5,2
44,7.333333333333333,7.5
10,0.18867924528301888,0
9,0.16981132075471697,0
1042,16.53968253968254,14
130,2.549019607843137,0
26,0.4126984126984127,0
52,2.736842105263158,3
52,0.9811320754716981,0
58,0.9206349206349206,0
2,1,1
10,0.15873015873015872,0
11,0.1746031746031746,0
778,13.186440677966102,8
23,0.7419354838709677,0
37,0.6981132075471698,0
45,4.5,3
2,0.25,0
13,0.25,0
34,0.68,0
5,0.35714285714285715,0
145,10.357142857142858,2
131,3.638888888888889,3
8,0.25806451612903225,0
609,11.49056603773585,11
30,1.2,0
12,0.19047619047619047,0
2,0.031746031746031744,0
30,0.5660377358490566,0
243,27,4
11,0.20754716981132076,0
2,0.06451612903225806,0
12,0.19047619047619047,0
266,6.333333333333333,2
9,0.14285714285714285,0
3,0.0967741935483871,0
188,3.081967213114754,2
2,0.031746031746031744,0
407,9.926829268292684,4
19,0.3584905660377358,0
5,0.16129032258064516,0
21,0.6774193548387096,1
27,0.675,0
188,6.064516129032258,0
15,0.2830188679245283,0
10,1,0
51,1.02,1
92,1.4603174603174602,1
208,3.3015873015873014,1
66,1.32,0
45,0.7142857142857143,0
225,4.5,3
51,0.9622641509433962,1
7,1.75,1.5
83,2.6774193548387095,0
2,0.09090909090909091,0
303,7.575,4
4,0.06349206349206349,0
129,2.0476190476190474,1
3,0.05660377358490566,0
3,0.047619047619047616,0
132,7.764705882352941,5
422,8.27450980392157,4
5,1.25,1
42,4.666666666666667,2
2,0.4,0
2,0.08,0
2,0.2857142857142857,0
112,2.1132075471698113,1
160,4,3.5
2,0.25,0
42,1.5555555555555556,1
17,0.6296296296296297,0
45,0.7377049180327869,0
658,10.78688524590164,0
68,6.8,4.5
13,0.24528301886792453,0
2,0.4,0
27,0.8709677419354839,0
134,2.126984126984127,0
10,1.1111111111111112,1
3,0.05660377358490566,0
23,0.36507936507936506,0
40,6.666666666666667,5.5
2,0.047619047619047616,0
4,0.08888888888888889,0
48,0.7868852459016393,0
2,0.1,0
18,0.33962264150943394,0
48,0.7619047619047619,0
1012,16.59016393442623,4
266,9.5,3.5
1,0.16666666666666666,0
1,0.16666666666666666,0
14,0.2222222222222222,0
172,3.2452830188679247,2
308,10.266666666666667,10
8,0.32,0
2,0.031746031746031744,0
31,1,0
25,0.4716981132075472,0
590,9.672131147540984,4
1,0.015873015873015872,0
44,0.88,0
3,0.21428571428571427,0
79,1.253968253968254,1
15,0.23809523809523808,0
4,2,2
154,4.277777777777778,3
49,0.9245283018867925,0
24,0.38095238095238093,0
28,0.7567567567567568,0
9,0.16981132075471697,0
28,5.6,5
235,3.8524590163934427,1
2,0.03773584905660377,0
269,8.151515151515152,0
1,0.09090909090909091,0
29,0.5471698113207547,0
23,0.92,0
7,0.1320754716981132,0
48,0.8275862068965517,0
14,0.2641509433962264,0
57,1.0754716981132075,0
74,1.1746031746031746,1
678,21.870967741935484,4
1,0.04,0
1,0.018867924528301886,0
2,0.034482758620689655,0
20,0.3448275862068966,0
23,0.4339622641509434,0
96,4.571428571428571,2
4,0.06349206349206349,0
2,0.03773584905660377,0
1,0.022222222222222223,0
7,0.7,0
1,0.04,0
618,11.660377358490566,8
219,3.7758620689655173,1
5,0.09433962264150944,0
68,3.5789473684210527,3
1,0.015873015873015872,0
152,3.3777777777777778,2
41,0.82,1
3,1.5,1.5
65,4.333333333333333,3
11,0.275,0
1,0.03225806451612903,0
2,0.03773584905660377,0
45,0.9,0
5,0.09433962264150944,0
52,1.6774193548387097,0
15,0.2459016393442623,0
4,0.12903225806451613,0
57,0.9344262295081968,0
20,1,0
20,0.37735849056603776,0
21,0.39622641509433965,0
10,0.18867924528301888,0
99,3.09375,1.5
481,7.634920634920635,2
1,0.25,0
87,3.9545454545454546,3
2,0.10526315789473684,0
23,0.4339622641509434,0
1,0.015873015873015872,0
83,1.5660377358490567,0
131,2.62,1
112,1.7777777777777777,0
41,0.7068965517241379,0
234,15.6,11
2,0.2857142857142857,0
20,0.37735849056603776,0
44,4.888888888888889,3
1,0.015873015873015872,0
27,0.5094339622641509,0
3,0.05660377358490566,0
6,0.1935483870967742,0
35,0.5555555555555556,0
284,13.523809523809524,8
1,0.015873015873015872,0
1111,20.2,4
3,0.05660377358490566,0
2,0.03773584905660377,0
16,0.3018867924528302,0
1,0.045454545454545456,0
8,0.32,0
1,0.015873015873015872,0
1,0.015873015873015872,0
19,0.30158730158730157,0
452,7.409836065573771,6
8,0.1509433962264151,0
406,6.655737704918033,1
68,1.0793650793650793,0
220,7.857142857142857,4.5
4,0.06349206349206349,0
4,0.07547169811320754,0
2,0.031746031746031744,0
176,3.3207547169811322,2
13,0.4642857142857143,0
46,0.7540983606557377,0
1,0.03225806451612903,0
283,7.447368421052632,5.5
369,8.2,2
108,2.16,1.5
12,0.19047619047619047,0
29,0.4603174603174603,0
1,0.05,0
1,0.015873015873015872,0
157,2.9622641509433962,1
13,0.52,0
1,0.018867924528301886,0
19,0.6129032258064516,0
205,3.253968253968254,2
95,7.3076923076923075,2
28,0.4827586206896552,0
11,0.20754716981132076,0
49,4.083333333333333,1
4,0.14814814814814814,0
2,0.031746031746031744,0
30,0.5660377358490566,0
30,0.967741935483871,0
22,0.55,0
25,0.3968253968253968,0
2,0.03773584905660377,0
18,0.33962264150943394,0
146,2.3934426229508197,2
622,15.170731707317072,2
3,0.3333333333333333,0
313,6.26,1
19,0.38,0
6,0.11320754716981132,0
242,10.083333333333334,1
355,7.1,5
22,0.41509433962264153,0
67,7.444444444444445,3
1,0.022222222222222223,0
49,0.9245283018867925,1
69,1.4081632653061225,0
1,0.03225806451612903,0
135,2.142857142857143,1
69,1.0952380952380953,0
32,0.6037735849056604,0
473,8.155172413793103,5
95,2.638888888888889,1
7,0.1111111111111111,0
1,0.015873015873015872,0
1,0.05263157894736842,0
7,0.1320754716981132,0
28,0.4827586206896552,0
79,1.490566037735849,0
38,0.6551724137931034,0
12,0.3870967741935484,0
143,3.0425531914893615,1
32,0.5079365079365079,0
1,0.015873015873015872,0
47,4.7,2
5,0.09433962264150944,0
155,2.6724137931034484,2
23,0.4339622641509434,0
275,4.741379310344827,1.5
1,0.015873015873015872,0
44,1.1,1
1,0.015873015873015872,0
59,1.1132075471698113,0
46,0.7540983606557377,0
2,0.13333333333333333,0
24,0.6,0
14,0.2222222222222222,0
1,0.03225806451612903,0
14,0.2641509433962264,0
20,0.46511627906976744,0
19,0.3275862068965517,0
10,0.9090909090909091,0
468,20.347826086956523,2
6,0.09523809523809523,0
120,2.2641509433962264,2
1,0.015873015873015872,0
1,0.029411764705882353,0
5,0.09433962264150944,0
1,0.1,0
41,1.025,1
21,0.39622641509433965,0
58,1.0943396226415094,1
32,0.5517241379310345,0
5,0.21739130434782608,0
1,0.1111111111111111,0
293,19.533333333333335,5
9,0.16981132075471697,0
2,0.031746031746031744,0
6,0.11320754716981132,0
14,0.6086956521739131,0
1,0.045454545454545456,0
39,0.7358490566037735,0
7,0.1320754716981132,0
58,0.9206349206349206,0
1,0.125,0
13,0.6842105263157895,0
53,0.8688524590163934,0
29,0.5471698113207547,0
139,2.2063492063492065,0
1,0.125,0
19,0.3584905660377358,0
19,0.6129032258064516,0
3,0.047619047619047616,0
182,4.232558139534884,4
1,0.03225806451612903,0
6,0.11320754716981132,0
235,3.7301587301587302,0
50,1,0
8,0.8888888888888888,1
2,0.03773584905660377,0
1,0.04,0
5,0.625,1
453,8.882352941176471,0
72,2.1818181818181817,1
383,9.341463414634147,6
26,0.49056603773584906,0
1,0.03225806451612903,0
1,0.015873015873015872,0
5,0.09433962264150944,0
30,0.6,0
1,0.02702702702702703,0
1,0.015873015873015872,0
59,2.5652173913043477,0
1,0.015873015873015872,0
11,0.20754716981132076,0
2,0.031746031746031744,0
6,0.09523809523809523,0
1,0.03225806451612903,0
3,0.07894736842105263,0
27,0.54,0
19,3.1666666666666665,4
13,0.20634920634920634,0
101,3.4827586206896552,2
47,4.7,2.5
37,4.111111111111111,0
18,0.5454545454545454,0
24,1.1428571428571428,0
245,4.622641509433962,0
17,1.8888888888888888,0
299,4.746031746031746,0
16,0.3018867924528302,0
22,3.6666666666666665,0
345,13.8,2
8,0.25806451612903225,0
7,0.22580645161290322,0
5,0.5555555555555556,0
68,1.0793650793650793,0
336,5.333333333333333,4
16,2.6666666666666665,2
3,0.10344827586206896,0
12,0.22641509433962265,0
86,1.4098360655737705,0
7,0.1111111111111111,0
17,2.8333333333333335,2
26,2.6,2.5
20,0.37735849056603776,0
7,0.22580645161290322,0
25,0.4716981132075472,0
365,8.902439024390244,3
69,1.3018867924528301,0
1,0.015873015873015872,0
3,0.075,0
30,0.5660377358490566,0
126,2,2
63,1.1886792452830188,0
19,1.9,1
10,0.15873015873015872,0
15,0.5555555555555556,0
92,1.7358490566037736,1
289,4.587301587301587,4
14,0.2222222222222222,0
47,0.8867924528301887,0
2,0.031746031746031744,0
497,13.432432432432432,2
541,12.581395348837209,1
138,2.6538461538461537,2
4,0.06349206349206349,0
2,0.031746031746031744,0
68,1.619047619047619,1
377,19.842105263157894,5
20,3.3333333333333335,1
8,0.12698412698412698,0
1,0.034482758620689655,0
1,0.1111111111111111,0
34,0.6415094339622641,0
3,0.047619047619047616,0
1,0.015873015873015872,0
22,3.6666666666666665,1
149,2.365079365079365,2
43,0.8113207547169812,0
1,0.018867924528301886,0
14,0.2222222222222222,0
7,0.1346153846153846,0
0,0,0
4,0.06349206349206349,0
8,0.2857142857142857,0
2,0.06896551724137931,0
262,4.158730158730159,1
2,0.10526315789473684,0
19,0.3584905660377358,0
40,0.6349206349206349,0
3,0.047619047619047616,0
5,0.07936507936507936,0
42,1.105263157894737,0
5,0.09433962264150944,0
4,0.10810810810810811,0
2,0.06451612903225806,0
317,5.031746031746032,2
1,0.03225806451612903,0
2,0.031746031746031744,0
2,0.06896551724137931,0
253,4.773584905660377,4
2,0.031746031746031744,0
3,0.05660377358490566,0
5,0.09433962264150944,0
7,0.1320754716981132,0
34,0.6415094339622641,0
2,0.031746031746031744,0
1,0.08333333333333333,0
9,0.16981132075471697,0
2,0.10526315789473684,0
15,0.2830188679245283,0
2,0.058823529411764705,0
5,0.09090909090909091,0
1,0.018867924528301886,0
4,0.06349206349206349,0
41,0.6507936507936508,0
14,0.2641509433962264,0
7,0.1111111111111111,0
2,0.031746031746031744,0
3,0.047619047619047616,0
76,1.4339622641509433,0
7,0.1111111111111111,0
48,0.7619047619047619,0
1,0.14285714285714285,0
15,0.2830188679245283,0
27,0.5094339622641509,0
37,0.5873015873015873,0
162,3.056603773584906,2
28,0.5283018867924528,0
2,0.2,0
1,0.020833333333333332,0
1,0.015873015873015872,0
62,1.4761904761904763,0
9,0.16981132075471697,0
13,0.24528301886792453,0
1,0.015873015873015872,0
264,9.428571428571429,4
4,0.06349206349206349,0
3,0.1111111111111111,0
20,0.37735849056603776,0
4,0.16,0
74,1.3962264150943395,0
1,0.023809523809523808,0
6,0.11320754716981132,0
11,0.20754716981132076,0
1,0.015873015873015872,0
2,0.031746031746031744,0
3,0.05660377358490566,0
8,0.1509433962264151,0
40,1.6,0
2,0.031746031746031744,0
10,0.18867924528301888,0
2,0.031746031746031744,0
3,0.05660377358490566,0
5,0.09433962264150944,0
1,0.02040816326530612,0
1,0.034482758620689655,0
452,7.661016949152542,4
7,0.1320754716981132,0
1,0.015873015873015872,0
3,0.047619047619047616,0
11,0.1746031746031746,0
13,0.24528301886792453,0
74,3.8947368421052633,1
63,2.3333333333333335,0
6,0.09523809523809523,0
0,0,0
53,1.962962962962963,1
15,0.4838709677419355,0
9,0.14285714285714285,0
1,0.015873015873015872,0
21,0.39622641509433965,0
15,0.23809523809523808,0
2,0.031746031746031744,0
1,0.015873015873015872,0
10,0.15873015873015872,0
9,0.16981132075471697,0
22,0.3492063492063492,0
9,0.2727272727272727,0
2,0.06451612903225806,0
9,0.16981132075471697,0
2,0.031746031746031744,0
24,0.4528301886792453,0
10,0.15873015873015872,0
4,0.12903225806451613,0
1,0.015873015873015872,0
2,0.03773584905660377,0
43,0.6825396825396826,0
4,0.12903225806451613,0
23,0.6571428571428571,0
407,8.847826086956522,0
28,0.4444444444444444,0
1,0.05263157894736842,0
9,0.14285714285714285,0
1,0.03225806451612903,0
33,0.6226415094339622,0
5,0.16129032258064516,0
17,0.32075471698113206,0
1,0.015873015873015872,0
3,0.057692307692307696,0
1,0.018867924528301886,0
8,0.1509433962264151,0
8,0.1509433962264151,0
1,0.015873015873015872,0
21,0.3333333333333333,0
452,9.224489795918368,0
82,3.727272727272727,2.5
1,0.015873015873015872,0
1,0.015873015873015872,0
2,0.031746031746031744,0
