id,t1_mean,t1_median,t2_mean,t2_median,t3_mean,t3_median,t4_mean,t4_median,t5_mean,t5_median,t6_mean,t6_median,t7_mean,t7_median,t8_mean,t8_median,t9_mean,t9_median,t10_mean,t10_median,t11_mean,t11_median,t12_mean,t12_median
1,79.5,79.5,114.66666666666667,120,150,152.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,8.5,8.5,9.333333333333334,11,12.75,12,12.6,12,11.833333333333334,11.5,14,12,12.625,11.5,12.444444444444445,11,11.9,11,12.181818181818182,11,12.5,11.5,15.615384615384615,12
5,41,41,52.333333333333336,50,63.5,62.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,48.5,48.5,51.666666666666664,58,54.75,59.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,42,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,30.5,30.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,24.5,24.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,48,48,52.666666666666664,57,56.75,59.5,51.8,57,49.333333333333336,48,47.857142857142854,39,47,40,48.55555555555556,41,47,40,46.27272727272727,39,47.166666666666664,40,46.38461538461539,39
20,77,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,21.5,21.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,18.5,18.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,17,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,47.5,47.5,43.666666666666664,36,40.75,34,35.2,32,33.833333333333336,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,40,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,9,9,17,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,17,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,39,39,35,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,16,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,32.5,32.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,779,779,582,250,464,219,387.2,188,333,149,290.2857142857143,110,257.875,95,232.44444444444446,80,212,71,195.27272727272728,62,NaN,NaN,NaN,NaN
42,15.5,15.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,27,27,24.333333333333332,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,28.5,28.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,36.5,36.5,32.333333333333336,33,31.5,31,28.8,29,27.833333333333332,26.5,26.428571428571427,24,27.375,26.5,27,24,25.9,24,24.636363636363637,24,24,23.5,23.846153846153847,23
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,23.5,23.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,36,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,27,27,25,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,4,4,2.6666666666666665,0,2,0,1.6,0,2.6666666666666665,0,4.285714285714286,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,18.5,18.5,17.333333333333332,15,16.5,14.5,19.8,15,19.833333333333332,17.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,0,0,6.666666666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,16,16,15,16,16.5,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,37.5,37.5,31.666666666666668,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
60,10.5,10.5,10,10,8,9.5,7.2,9,6.333333333333333,6.5,5.428571428571429,4,4.875,3,4.666666666666667,3,4.2,2.5,3.8181818181818183,2,3.5,2,3.6153846153846154,2
61,4,4,3.6666666666666665,3,6.25,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,9,9,12.333333333333334,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,12,12,13,15,17.25,15.5,17.4,16,15.166666666666666,15.5,13,15,11.375,11.5,12.333333333333334,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,13,13,14.333333333333334,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,28.5,28.5,22.666666666666668,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,36.5,36.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1.5,1.5,1.3333333333333333,1,4.25,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,1.5714285714285714,0,1.625,0,2.2222222222222223,0,3.1,1,NaN,NaN,NaN,NaN,NaN,NaN
81,29,29,24,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,36,36,30,21,27,19.5,24.6,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,12,12,14.666666666666666,18,15,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,36,36,44.333333333333336,38,42.5,37.5,42.8,38,46.5,41,45.142857142857146,38,41.875,37.5,39,37,38.3,37,37.45454545454545,37,36.75,35.5,35.30769230769231,34
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,8.5,8.5,10.333333333333334,10,11.25,12,10,10,10,10,9.857142857142858,10,9.25,9.5,9.88888888888889,10,9.5,9.5,8.818181818181818,9,9,9.5,8.846153846153847,9
92,0,0,4.333333333333333,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,18,18,20,24,24,26.5,22.6,24,22.166666666666668,22,23.142857142857142,24,22.5,22,21.444444444444443,20,22,22,20.636363636363637,20,19.583333333333332,19,18.153846153846153,18
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
96,49,49,39.333333333333336,34,31,27,26.4,20,24.5,17.5,23.285714285714285,16,22.125,15.5,21.22222222222222,15,20.8,15.5,19.818181818181817,15,18.916666666666668,14.5,18.23076923076923,14
97,20,20,17.333333333333332,17,16.25,15,15.4,13,14.5,12.5,14.571428571428571,13,13.625,12.5,12.88888888888889,12,14.1,12.5,13.909090909090908,12,13.416666666666666,12,12.923076923076923,12
98,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0.4444444444444444,0,1.3,0,NaN,NaN,NaN,NaN,NaN,NaN
101,7,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,0,0,3,0,7,4.5,12.6,9,13.666666666666666,14,14.571428571428571,19,15.125,19,15.777777777777779,19,15.6,19,15.545454545454545,19,15.416666666666666,17,15,15
103,NaN,NaN,0,0,0,0,1,0,2.8333333333333335,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,49,49,50,52,48.75,48.5,50.2,52,50.666666666666664,52.5,50.42857142857143,52,49.125,50.5,48.333333333333336,49,50.5,50.5,50.09090909090909,49,51.916666666666664,50.5,51,49
108,7,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109,8.5,8.5,9.333333333333334,10,9.75,10.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,7.5,7.5,7.666666666666667,8,7.75,8,9,8,9.166666666666666,8.5,9.142857142857142,9,9.25,9,9,9,8.5,8.5,10.090909090909092,9,10.166666666666666,9,10.23076923076923,9
114,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN
115,13,13,12.666666666666666,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116,6,6,13.666666666666666,7,13.25,9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363636363636363,0,6.583333333333333,0,9.076923076923077,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4545454545454546,0,5.583333333333333,0,8.538461538461538,0
122,4.5,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
