berlin.de,ref
https://daten.berlin.de/datensaetze/alkis-berlin-flurst%C3%BCcke-atom,http://fbinter.stadt-berlin.de/fb/feed/senstadt/a_alkis_flurstuecke
https://daten.berlin.de/datensaetze/teilnehmerzahlen-am-religions-und-weltanschauungsunterricht,https://www.berlin.de/sen/kultur/religion-weltanschauung/statistik-open-data/teilnehmer-religions-und-weltanschauungsunterricht/final_od-teilnehmerzahlen-religions-und-weltanschauungsunterricht.xls
https://daten.berlin.de/datensaetze/statistische-einheiten-im-inspire-datenmodell-lebensweltlich-orientierte-r%C3%A4ume-wms-0,http://fbinter.stadt-berlin.de/fb?loginkey=showMap&mapId=SU_LOR@senstadt
https://daten.berlin.de/datensaetze/produzierendes-gewerbe,http://www.berlin.de/sen/wirtschaft/wirtschaft/konjunktur-und-statistik/wirtschaftsdaten/wirtschaftsleistung/produzierendes-gewerbe/index.php/index/all.json?q=
https://daten.berlin.de/datensaetze/statistische-einheiten-im-inspire-datenmodell-rbs-bl%C3%B6cke,http://fbinter.stadt-berlin.de/fb/wms/senstadt/SU_BLK?service=wms&request=GetCapabilities
https://daten.berlin.de/datensaetze/alkis-berlin-geb%C3%A4ude-atom,http://fbinter.stadt-berlin.de/fb/feed/senstadt/a_alkis_gebaeude
https://daten.berlin.de/datensaetze/bodengesellschaften-2010-umweltatlas-wms,http://fbinter.stadt-berlin.de/fb/wms/senstadt/k01_01boges2010/?service=wms&request=GetCapabilities
https://daten.berlin.de/datensaetze/gesundheitsberichterstattung-berlin-gesundheitsindikator-814-ausgew%C3%A4hlte-berufe-der,http://www.gsi-berlin.info/gsi_odp.asp?seite=2&CBFest=Indikator&indikator=8.14
https://daten.berlin.de/datensaetze/entwicklung-luftqualit%C3%A4t-pm25-gesamtemissionen-20082009-umweltatlas,http://fbinter.stadt-berlin.de/fb/wms/senstadt/k03_12_14_1pm25emigesamt2009/?service=wms&request=GetCapabilities
https://daten.berlin.de/datensaetze/gesundheitsberichterstattung-berlin-gesundheitsindikator-318-verteilung-der-h%C3%A4ufigsten,http://www.gsi-berlin.info/gsi_odp.asp?seite=2&CBFest=Indikator&indikator=3.18
https://daten.berlin.de/datensaetze/bodenfunktionen-und-planungshinweise-2010-umweltatlas,http://fbinter.stadt-berlin.de/fb/wfs/geometry/senstadt/re_boden_wfs4_2010/?service=wfs&request=GetCapabilities
https://daten.berlin.de/datensaetze/gesundheitsberichterstattung-berlin-gesundheitsindikator-76-inanspruchnahme-des,http://www.gsi-berlin.info/gsi_odp.asp?seite=2&CBFest=Indikator&indikator=7.6
https://daten.berlin.de/datensaetze/gesundheitsberichterstattung-berlin-gesundheitsindikator-350-lebendgeborene-nach,http://www.gsi-berlin.info/gsi_odp.asp?seite=2&CBFest=Indikator&indikator=3.50
https://daten.berlin.de/datensaetze/gesundheitsberichterstattung-berlin-gesundheitsindikator-78-karies-prophylaxe-bei,http://www.gsi-berlin.info/gsi_odp.asp?seite=1&CBFest=Indikator&indikator=7.8
https://daten.berlin.de/datensaetze/gesundheitsberichterstattung-berlin-kontext-einschulungsuntersuchung-berlin-2008,http://www.gsi-berlin.info/gsi_odp.asp?seite=2&CBFest=Kontext&kontext=Einschulungsuntersuchung%20Berlin%202008
https://daten.berlin.de/datensaetze/gesundheitsberichterstattung-berlin-gesundheitsindikator-313-vermeidbare-sterbefälle,http://www.gsi-berlin.info/gsi_odp.asp?seite=1&CBFest=Indikator&indikator=3.13
