id,label
05,Bezirksamt Neukölln
18,"Senatsverwaltung für Arbeit, Integration und Frauen"
23,Senatsverwaltung für Gesundheit und Soziales
20,"Senatsverwaltung für Bildung, Jugend und Wissenschaft"
16,Senatskanzlei - Kulturelle Angelegenheiten -
04,Bezirksamt Mitte
14,Regierender Bürgermeister - Senatskanzlei -
27,"Senatsverwaltung für Integration, Arbeit und Soziales"
02,Bezirksamt Lichtenberg
03,Bezirksamt Marzahn-Hellersdorf
24,"Senatsverwaltung für Gesundheit, Pflege und Gleichstellung"
37,"Senatsverwaltung für Wirtschaft, Technologie und Forschung"
26,Senatsverwaltung für Inneres und Sport
10,Bezirksamt Tempelhof-Schöneberg
11,Bezirksamt Treptow-Köpenick
19,"Senatsverwaltung für Bildung, Jugend und Familie"
31,Senatsverwaltung für Kultur und Europa
12,"Die/Der Beauftragte für Kirchen, Religions- und Weltanschauungsgemeinschaften"
39,Stiftung Deutsche Klassenlotterie Berlin
36,"Senatsverwaltung für Wirtschaft, Energie und Betriebe"
07,Bezirksamt Reinickendorf
30,"Senatsverwaltung für Justiz, Verbraucherschutz und Antidiskriminierung"
15,Senatskanzlei - Forschung-
33,Senatsverwaltung für Stadtentwicklung und Umwelt
35,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz"
09,Bezirksamt Steglitz-Zehlendorf
29,Senatsverwaltung für Justiz und Verbraucherschutz
34,Senatsverwaltung für Stadtentwicklung und Wohnen
08,Bezirksamt Spandau
06,Bezirksamt Pankow
00,Bezirksamt Charlottenburg-Wilmersdorf
01,Bezirksamt Friedrichshain-Kreuzberg
13,Landesbeauftragter für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR
17,Senatskanzlei - Wissenschaft
22,Senatsverwaltung für Finanzen
38,"Senatsverwaltung für Wirtschaft, Technologie und Frauen"
21,"Senatsverwaltung für Bildung, Wissenschaft und Forschung"
32,Senatsverwaltung für Stadtentwicklung
25,"Senatsverwaltung für Gesundheit, Umwelt und Verbraucherschutz"
28,Senatsverwaltung für Justiz
