id,label
00,!K7 Records GmbH
01,'BürSte' Bürger für den Stephankiez in Mitte e. V.
02,'Das Futterhaus' - Berlin GmbH & Co. KG
03,'Die Arche' Christliches Kinder- und Jugendwerk e. V.
04,'Die Hilfsbereitschaft e. V.' Treffpunkt Hilfsbereitschaft
05,'GIRASOLES - SONNENBLUMEN' e. V.
06,'Gesicht zeigen!' Für ein weltoffenes Deutschland e. V.
07,'Grips'-Theater Gesellschaft mit beschränkter Haftung
08,'Grips'-Theater gemeinnützige Gesellschaft mit beschränkter Haftung
09,'Kiek in' e. V. Berlin
10,'Kindergärten City' Eigenbetrieb von Berlin
11,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
12,"'Lyra e. V.', Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler"
13,'Merkur' e. V. Berlin f. soziale Arbeit
14,'Merkur' e. V. Berlin für soziale Arbeit
15,'Neuer Berliner Kunstverein'
16,'Neuer Berliner Kunstverein' (eingetragener Verein)
17,'Roter Baum' Berlin UG (haftungsbeschränkt)
18,'Sonnenkäferwelt e. V.'
19,'Theater Thikwá' - Verein zur Förderung der Zusammenarbeit 'behinderter' und 'nichtbehinderter' Schauspieler und Schauspielerinnen e. V.
20,'Wildfang' Kinder gGmbH
21,'Wunderinsel' gGmbH
22,'megawatt' Ingenieurgesellschaft für Wärme- und Energietechnik mbH
23,+49 group GmbH
24,1 VfL Fortuna Marzahn
25,1. Berliner Bogenschützen e. V.
26,1. Berliner Skateboard-Verein e. V.
27,1. FC Besiktas Berlin 2000 e. V.
28,1. FC Lübars e. V.
29,1. FC Schöneberg 1913 e. V.
30,1. FC Schöneberg 1913 e.V
31,1. FC Wilmersdorf 1911 e. V.
32,1. Friedrichshainer BUDO - Club 90 e. V.
33,1. Friedrichshainer Budo-Club 90 e. V.
34,1. Friedrichshainer Budo-Club ´90 e. V.
35,1. Friedrichshainer Budo-Club ´90 e.V.
36,1. Fussball-Club Union
37,"1. Fussball-Club Wacker 1921, Lankwitz e. V."
38,1. Fußball Club Besiktas Berlin 2000 e. V.
39,1. Fußball Club Union Berlin
40,1. Fußball Club Union Berlin e. V.
41,1. Fußball Cub Union Berlin e. V.
42,1. Fußball-Club Lübars e. V.
43,1. Fußball-Club Marzahn 94 e. V.
44,1. Fußball-Club Schöneberg 1913 e. V.
45,1. Köpenicker Drachenboot e. V.
46,1. Spandauer Tauchsportclub LOBSTER e. V.
47,1. Spandauer Tauchsportclub Lobster e. V.
48,1. Squashverein Pankow e. V.
49,1. Traber-Fußball Club Mariendorf e. V.
50,1. Verein für Leichtathletik FORTUNA Marzahn e. V.
51,1. Verein für Leichtathletik Fortuna Marzahn e. V.
52,1.FC Schöneberg 1913 e. V.
53,1.Fußball Club Wacker 1921 Lankwitz
54,1.SV Galatasaray Berlin e. V.
55,1000eyes GmbH
56,1000shapes GmbH
57,10START GmbH
58,1219. Deutsche Stiftung für interreligösen und interkulturellen Dialog. E. V.
59,14 Kilometers - the shortest distance between North Africa and Europe e. V.
60,23 Nisan e. V.
61,24 Std. KiBe 'Die wilden Knallerbsen' e.V.
62,24Insights GmbH
63,2heels4u GmbH
64,2txt - natural language generation UG (haftungsbeschränkt)
65,2wheels4u GmbH
66,3 B Berlin Tischtennis e. V.
67,3 B Pharmaceuticals GmbH
68,36. Deutscher Evangelischer Kirchentag Berlin 2017 e. V.
69,360dialog GmbH
70,3B Pharmaceuticals GmbH
71,3R LifeScience GmbH
72,3S Antriebe GmbH
73,3YOURMIND GmbH
74,3d-berlin vr solutions GmbH
75,3pc GmbH Neue Kommunikation
76,42com Telecommunication GmbH
77,4flow AG
78,4initia GmbH
79,4yourfinance UG (haftungsbeschränkt)
80,5 CUPS and some sugar GmbH
81,5micron GmbH
82,6 Wunderkinder GmbH
83,7 Star Music & Media UG
84,7NXT Health GmbH
85,81er Wandergesellen e. V.
86,908video gmbh
87,@baeumer Unternehmensentwicklung
88,"A & QUA GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung"
89,A & QUA gGmbH
90,"A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung"
91,A & S Umann GmbH
92,A - Medialynx GmbH TV-Produktion
93,A Company Consulting & Licensing AG
94,"A&QUA GmbH, Gesellschaft für Bildung,Arbeit und Qualifizierung"
95,"A&QUA gGmbH gemeinnützige Gesellschaft für Bildung, Arbeit und und Qualifizierung"
96,A&QUA gGmbH  
97,A. Baur Pharma GmbH & Co. KG
98,A. Kaymaz
99,A. R. T. Photonics GmbH
100,A.A.A. THILOS GmbH Reparaturservice für Haushaltsgeräte
101,A.M.M. Aktionszentrum Multi Media GmbH
102,A.V.E. Energieberatung & Planungs GmbH
103,A.V.E. Energieberatungs- und Planungsgesellschaft mbH
104,A.V.E. Energieberatungs- undPlanungsgesellschaft mbH
105,AB Diagnostic Systems GmbH
106,ABB Ausbildungszentrum Berlin gemeinnützige GmbH
107,ABB Training Center GmbH & Co. KG
108,ABBV GmbH
109,"ABBV GmbH - Akademie für Bildung, Beruf und Verkehr"
110,ABC Kindergarten gUG
111,ABC Schülerclub Frohnau e .V.
112,ABC Zentrum Berlin e. V.
113,ABEX Blechbearbeitungs GmbH
114,ABK - Berlin e. V. (ALLGEMEINER BUDO- u. KAMPFSPORTVEREIN BERLIN e. V.)
115,ABS 'Brücke' GmbH
116,ABS Akademie Berlin - Schmökwitz GmbH für Wirtschaft und Verwaltung
117,"ABS Akademie Berlin Schmökwitz GmbH, für Wirtschaft und Verwaltung"
118,ABS Fahrzeugtechnik GmbH
119,ABT gGmbH - Akademie für berufliches Training
120,ABT gGmbH Arbeitsförderungs- und Bildungszentrum in Treptow
121,ABT gemeinnützige Erwerbsgesellschaft mbH
122,ABU - Akademie für Berufsförderung und Umschulung gGmbH
123,ABU Akademie für Berufsbildung und Umschulung gGmbH
124,ABU Akademie für Berufsförderung und Umschulung gGmbH
125,ABU Akademie gGmbH
126,"ABU gGmbH, Akademie für Berufsförderung und Umschulung Berlin"
127,ABiTEP GmbH
128,ABqueer e. V.
129,ACC Berlin Konferenz Betriebs GmbH
130,ACE - Auto Club Europa e. V.
131,ACE Auto Club Europa
132,ACE Auto Club Europa e. V.
133,ACI Analytical Control Instruments GmbH
134,ACRIBA gGmbH Qualifizierung und Ausbildung
135,ACT - Führe Regie über dein Leben! e. V.
136,ADAC Berlin - Brandenburg e. V.
137,ADAC Berlin Brandenburg
138,ADAC Berlin Brandenburg e. V.
139,ADAC Berlin – Brandenburg e. V.
140,ADAKOM GmbH Angewandte Daten- und Kommunikationssysteme
141,ADAKOM GmbH AngewandteDaten- und Kommunikationssysteme
142,ADFB GmbH Berlin
143,"ADFC Allgemeiner Deutscher Fahrrad Club, Landesverband Berlin e. V."
144,ADFC Fahrrad Club Berlin
145,ADFC Fahrrad Club Berlin e. V.
146,ADMOS Gleitlager GmbH
147,ADQ Aktionszentrum für Dienstleistung und Qualifizierung gGmbH
148,ADTRAN GmbH
149,ADUNOS GmbH
150,ADV - Nokta gemeinnützige GmbH
151,ADV - Nokta gemeinützige GmbH
152,ADV -Nokta gGmbH
153,ADV Nokta gGmbH
154,ADV gGmbH
155,"ADV gGmbH, Akzeptieren, Differenzieren, Verbinden - Ges. zur Integration benachteiligter Menschen"
156,ADV gemeinnützige Verwaltungs- und Betriebs GmbH
157,ADV-Nokta gGmbH
158,"AEG SIGNUM, Gesellschaft für Berufsbildung Training u. Beratung mbH"
159,AEMtec GmbH
160,AESD Research & Development GmbH
161,"AFB e. V., Verein zur Förderung von Arbeit, Forschung und Bildung"
162,AFC Berlin Adler e. V.
163,AFH-Brauwelttechnik GmbH
164,AFS Advanced Filter Solutions GmbH
165,AFT Fertigungstechnik und Handel GmbH
166,AFW Akademie für Führungskräftefortbildung der Wirtschaft GmbH - gemeinnützig-
167,AFW Akademie für Weiterbildung GmbH
168,"AFW, Lehranstalt für Gartenbau und Floristik Ausbildungsförderwerk Berlin e. V."
169,"AFW, Lehranstalt für Gartenbau-u. Floristik Ausbildungsförderwerk Berlin e. V."
170,AG 'offene Ateliers'
171,AG Christen und Juden im Ev. Kirchenkreis Spandau
172,AG Dickert + Kleemann
173,AG Friedrichshainer und Kreuzberger Sportvereine
174,AG Gesundheit der Seniorenvertretung Treptow-Köpenick
175,AG Märkische Kleinbahn e. V.
176,AG PRO Plänterwald
177,AG SPAS e. V. - Arbeitsgemeinschaft für Sozialplanung und angewandte Stadtforschung e. V.
178,"AG SPAS e. V., Arbeitsgemeinschaft für Sozialplanung und angewandte Stadtforschung e. V."
