xaxis,time,yaxis
0,0,603
1,1,420
2,2,242
3,3,157
5,5,221
6,6,535
7,7,1160
8,8,2887
9,9,2758
10,10,1573
11,11,1546
12,12,1925
13,13,2043
14,14,2176
15,15,2397
16,16,2761
17,17,3433
18,18,4209
19,19,3428
20,20,2331
21,21,1635
22,22,1387
23,23,871
24,0,519
25,1,274
26,2,160
27,3,131
29,5,234
30,6,652
31,7,1744
32,8,4059
33,9,3650
34,10,2160
35,11,1711
36,12,2046
37,13,1984
38,14,1963
39,15,2202
40,16,2938
41,17,3794
42,18,4328
43,19,3387
44,20,2460
45,21,1859
46,22,1503
47,23,1020
48,0,569
49,1,374
50,2,213
51,3,109
53,5,169
54,6,592
55,7,1626
56,8,3771
57,9,3199
58,10,1716
59,11,1575
60,12,1844
61,13,1904
62,14,1819
63,15,2150
64,16,2322
65,17,3387
66,18,3836
67,19,3053
68,20,2261
69,21,1748
70,22,1473
71,23,1125
72,0,724
73,1,413
74,2,238
75,3,159
77,5,168
78,6,505
79,7,2120
80,8,3070
81,9,2781
82,10,1563
83,11,1537
84,12,1819
85,13,1952
86,14,1912
87,15,2024
88,16,2389
89,17,3198
90,18,3785
91,19,3053
92,20,2370
93,21,1717
94,22,1542
95,23,1189
96,0,748
97,1,572
98,2,319
99,3,194
101,5,164
102,6,521
103,7,1435
104,8,3283
105,9,3021
106,10,1868
107,11,1892
108,12,2243
109,13,2373
110,14,2631
111,15,2785
112,16,3271
113,17,3455
114,18,3836
115,19,3159
116,20,2404
117,21,1811
118,22,1564
119,23,1381
120,0,1195
121,1,938
122,2,644
123,3,439
125,5,265
126,6,209
127,7,317
128,8,589
129,9,1204
130,10,1788
131,11,2526
132,12,2542
133,13,3052
134,14,3043
135,15,3072
136,16,2978
137,17,2929
138,18,2959
139,19,2604
140,20,2070
141,21,1696
142,22,1388
143,23,1283
144,0,1154
145,1,882
146,2,623
147,3,500
149,5,264
150,6,255
151,7,305
152,8,463
153,9,961
154,10,1441
155,11,1972
156,12,2416
157,13,2686
158,14,2713
159,15,2818
160,16,2575
161,17,2430
162,18,2374
163,19,2287
164,20,1844
165,21,1492
166,22,1262
167,23,895
