,ministry,absolute,percentage,ministry_en
0,Sen. Inneres & Sport,1545,21.9%,"Sen. Domestic Affairs & Sports"
1,"Sen. Umwelt, Verkehr & Klimaschutz",1285,18.2%,"Sen. Environment, Traffic & Climate Protection"
2,"Sen. Bildung, Jugend & Familie",1165,16.5%,"Sen. Education, Youth & Family"
3,"Sen. Stadtentwicklung & Wohnen",610,8.7%,"Sen. Urban Development & Living"
4,"Sen. Integration, Arbeit & Soziales",477,6.8%,"Sen. Integration, Labor & Social Affairs"
5,"Sen. Finanzen",412,5.8%,"Sen. Finance"
6,"Regierender Bürgermeister (inkl. Wissenschaft und Forschung)",405,5.8%,"Governing Major"
7,"Sen. Justiz, Verbraucherschutz & Antidiskriminierung",391,5.5%,"Sen. Justice, Consumer Protection & Anti-discrimination"
8,"Sen. Gesundheit, Pflege & Gleichstellung",254,3.6%,"Sen. Health, Care & Equality"
9,"Sen. Wirtschaft, Energie & Betriebe",192,2.7%,"Sen. Economics, Energy and Public Enterprises"
10,"Sonstige",255,3.6%,"Other"
