date,type,value
2018-06-01,ora_pv,5131
2018-06-01,ra_pv,5131
2018-06-01,a_pv,5133
2018-06-01,pv,5635
2018-05-01,ra_pv,3938
2018-05-01,ora_pv,3938
2018-05-01,a_pv,3941
2018-05-01,pv,4468
2018-04-01,a_pv,3232
2018-04-01,pv,3719
2018-04-01,ora_pv,3223
2018-04-01,ra_pv,3223
2018-03-01,pv,5428
2018-03-01,ra_pv,4188
2018-03-01,a_pv,4217
2018-03-01,ora_pv,4188
2018-02-01,a_pv,3617
2018-02-01,ra_pv,3566
2018-02-01,pv,4422
2018-02-01,ora_pv,3566
2018-01-01,pv,4723
2018-01-01,ora_pv,3727
2018-01-01,ra_pv,3727
2018-01-01,a_pv,3807
2017-12-01,a_pv,2978
2017-12-01,pv,3794
2017-12-01,ra_pv,2927
2017-12-01,ora_pv,2927
2017-11-01,ora_pv,3727
2017-11-01,a_pv,3836
2017-11-01,pv,4976
2017-11-01,ra_pv,3727
2017-10-01,ora_pv,3582
2017-10-01,pv,4661
2017-10-01,a_pv,3694
2017-10-01,ra_pv,3582
2017-09-01,pv,6081
2017-09-01,ora_pv,4293
2017-09-01,a_pv,4694
2017-09-01,ra_pv,4606
2017-08-01,ora_pv,3200
2017-08-01,ra_pv,3200
2017-08-01,pv,4315
2017-08-01,a_pv,3290
2017-07-01,pv,4014
2017-07-01,ora_pv,2838
2017-07-01,ra_pv,2838
2017-07-01,a_pv,2952
2017-06-01,pv,4519
2017-06-01,ora_pv,3127
2017-06-01,a_pv,3222
2017-06-01,ra_pv,3127
2017-05-01,a_pv,3454
2017-05-01,ra_pv,3370
2017-05-01,ora_pv,3370
2017-05-01,pv,4632
2017-04-01,a_pv,3777
2017-04-01,ora_pv,3652
2017-04-01,pv,4918
2017-04-01,ra_pv,3652
2017-03-01,pv,9734
2017-03-01,ra_pv,8395
2017-03-01,ora_pv,5076
2017-03-01,a_pv,8597
2017-02-01,ora_pv,2749
2017-02-01,a_pv,2846
2017-02-01,pv,3782
2017-02-01,ra_pv,2749
2017-01-01,pv,4342
2017-01-01,ra_pv,3173
2017-01-01,a_pv,3281
2017-01-01,ora_pv,3173
2016-12-01,ra_pv,2178
2016-12-01,ora_pv,2178
2016-12-01,pv,2718
2016-12-01,a_pv,2240
2016-11-01,ra_pv,2358
2016-11-01,a_pv,2417
2016-11-01,ora_pv,2358
2016-11-01,pv,3241
2016-10-01,ra_pv,2556
2016-10-01,ora_pv,2556
2016-10-01,pv,3380
2016-10-01,a_pv,2616
2016-09-01,ora_pv,2426
2016-09-01,ra_pv,2426
2016-09-01,pv,3727
2016-09-01,a_pv,2488
2016-08-01,ora_pv,2285
2016-08-01,a_pv,2374
2016-08-01,ra_pv,2285
2016-08-01,pv,3055
2016-07-01,pv,2877
2016-07-01,ra_pv,2086
2016-07-01,ora_pv,2086
2016-07-01,a_pv,2164
2016-06-01,pv,3646
2016-06-01,ora_pv,2594
2016-06-01,ra_pv,2594
2016-06-01,a_pv,2693
2016-05-01,ora_pv,2798
2016-05-01,ra_pv,2798
2016-05-01,a_pv,2925
2016-05-01,pv,4002
2016-04-01,ra_pv,2707
2016-04-01,a_pv,2858
2016-04-01,pv,3732
2016-04-01,ora_pv,2707
2016-03-01,pv,3961
2016-03-01,ra_pv,3043
