date,value,type
0,1.000,0
1,0.946,0
2,0.262,0
3,0.413,0
4,0.926,0
0,0.131,2
1,1.000,2
0,0.000,3
1,0.000,3
2,0.000,3
3,0.000,3
4,0.000,3
5,0.000,3
6,0.000,3
7,0.000,3
8,0.000,3
9,0.000,3
10,0.000,3
11,0.000,3
12,0.000,3
13,0.512,3
14,0.665,3
15,1.000,3
16,0.456,3
17,0.474,3
18,0.665,3
19,0.563,3
20,0.372,3
21,0.581,3
22,0.340,3
23,0.326,3
0,0.516,6
1,0.066,6
2,0.088,6
3,0.099,6
4,0.132,6
5,1.000,6
0,0.000,7
1,0.000,7
2,0.000,7
3,0.000,7
4,1.000,7
0,0.028,9
1,0.099,9
2,1.000,9
3,0.305,9
4,0.231,9
5,0.180,9
6,0.184,9
7,0.148,9
8,0.161,9
9,0.155,9
10,0.164,9
11,0.153,9
12,0.212,9
13,0.140,9
14,0.137,9
15,0.077,9
16,0.077,9
17,0.059,9
0,0.000,11
1,1.000,11
2,0.269,11
3,0.125,11
4,0.303,11
5,0.140,11
6,0.250,11
7,0.136,11
8,0.208,11
9,0.223,11
10,0.261,11
11,0.231,11
12,0.284,11
13,0.212,11
14,0.246,11
15,0.280,11
16,0.208,11
17,0.205,11
18,0.148,11
19,0.174,11
20,0.163,11
21,0.182,11
22,0.223,11
23,0.125,11
0,1.000,12
1,0.750,12
0,0.196,13
1,1.000,13
0,0.140,16
1,1.000,16
0,0.644,17
1,1.000,17
2,0.652,17
3,0.407,17
4,0.407,17
5,0.430,17
6,0.400,17
7,0.304,17
8,0.178,17
9,0.393,17
10,0.326,17
11,0.341,17
12,0.400,17
13,0.333,17
14,0.281,17
15,0.289,17
16,0.341,17
17,0.252,17
18,0.259,17
19,0.230,17
20,0.148,17
21,0.200,17
22,0.207,17
23,0.230,17
0,0.000,19
1,0.263,19
2,1.000,19
3,0.394,19
4,0.576,19
5,0.626,19
6,0.697,19
7,0.323,19
8,0.374,19
9,0.394,19
10,0.414,19
11,0.616,19
12,0.333,19
13,0.394,19
14,0.576,19
15,0.374,19
16,0.283,19
17,0.384,19
18,0.232,19
19,0.152,19
20,0.434,19
21,0.333,19
22,0.384,19
23,0.273,19
0,1.000,20
1,0.339,20
0,0.162,22
1,1.000,22
0,1.000,23
1,0.514,23
2,0.871,23
3,0.457,23
4,0.586,23
5,0.357,23
6,0.714,23
7,0.657,23
8,0.357,23
9,0.471,23
10,0.443,23
11,0.471,23
12,0.586,23
13,0.414,23
14,0.729,23
15,0.700,23
16,0.514,23
17,0.400,23
18,0.414,23
19,0.457,23
20,0.443,23
21,0.471,23
22,0.357,23
23,0.586,23
0,0.343,25
1,0.200,25
2,0.086,25
3,0.029,25
4,0.029,25
5,0.000,25
6,0.229,25
7,0.343,25
8,0.314,25
9,0.457,25
10,0.400,25
11,0.371,25
12,0.457,25
13,0.114,25
14,0.000,25
15,0.000,25
16,0.000,25
17,0.000,25
18,0.057,25
19,0.029,25
20,0.171,25
21,0.057,25
22,1.000,25
0,0.200,26
1,0.343,26
2,0.600,26
3,0.814,26
4,1.000,26
5,0.814,26
6,0.914,26
7,0.714,26
8,0.429,26
9,0.586,26
10,0.586,26
11,0.371,26
12,0.471,26
13,0.400,26
14,0.314,26
15,0.429,26
16,0.329,26
17,0.300,26
18,0.457,26
19,0.371,26
20,0.400,26
21,0.471,26
22,0.486,26
23,0.543,26
0,0.000,27
1,1.000,27
0,0.543,28
1,1.000,28
2,0.806,28
3,0.440,28
4,0.457,28
5,0.903,28
6,0.549,28
7,0.257,28
8,0.389,28
9,0.326,28
10,0.269,28
11,0.137,28
12,0.206,28
13,0.160,28
14,0.109,28
15,0.143,28
16,0.137,28
17,0.131,28
18,0.103,28
19,0.109,28
20,0.211,28
21,0.177,28
22,0.217,28
23,0.246,28
0,0.000,29
1,0.000,29
2,0.000,29
3,0.000,29
4,0.000,29
5,0.000,29
6,0.000,29
7,0.000,29
8,0.000,29
9,0.000,29
10,0.000,29
11,0.000,29
12,0.000,29
13,0.000,29
14,0.000,29
15,0.000,29
16,0.444,29
17,1.000,29
18,0.083,29
19,0.139,29
20,0.333,29
21,0.194,29
22,0.222,29
23,0.278,29
0,1.000,30
1,0.600,30
0,0.121,32
1,0.303,32
2,0.212,32
3,0.394,32
4,0.152,32
5,1.000,32
0,0.444,33
1,0.378,33
2,0.333,33
3,0.133,33
4,0.133,33
5,0.289,33
6,0.289,33
7,0.867,33
8,0.489,33
9,0.600,33
10,0.467,33
11,0.600,33
12,0.778,33
13,0.489,33
14,0.600,33
15,0.622,33
16,0.711,33
17,0.600,33
18,0.556,33
19,0.756,33
20,0.511,33
21,1.000,33
22,0.578,33
23,0.600,33
0,0.172,34
1,1.000,34
0,0.000,35
1,0.000,35
2,0.000,35
3,0.000,35
4,0.000,35
5,0.000,35
6,0.000,35
7,0.000,35
8,0.000,35
9,0.000,35
10,0.000,35
11,0.000,35
12,0.000,35
13,0.000,35
14,0.000,35
15,0.000,35
16,0.000,35
17,1.000,35
18,0.238,35
19,0.690,35
20,0.381,35
21,0.952,35
22,0.524,35
23,0.214,35
0,1.000,38
1,0.667,38
0,0.612,40
1,0.835,40
2,0.843,40
3,0.686,40
4,0.752,40
5,0.364,40
6,0.289,40
7,0.174,40
8,0.157,40
9,0.298,40
10,0.281,40
11,0.388,40
12,0.587,40
13,0.587,40
14,0.438,40
15,0.636,40
16,1.000,40
17,0.488,40
18,0.347,40
19,0.198,40
20,0.157,40
21,0.240,40
22,0.281,40
23,0.223,40
0,0.000,41
1,0.000,41
2,0.000,41
3,0.022,41
4,0.191,41
5,1.000,41
6,0.144,41
7,0.084,41
8,0.061,41
9,0.047,41
10,0.026,41
11,0.024,41
12,0.022,41
13,0.021,41
14,0.021,41
0,0.069,42
1,1.000,42
0,0.000,44
1,0.000,44
2,0.000,44
3,0.779,44
4,0.326,44
5,1.000,44
6,0.558,44
7,0.314,44
8,0.209,44
9,0.174,44
10,0.256,44
11,0.244,44
12,0.279,44
13,0.093,44
14,0.081,44
15,0.233,44
16,0.233,44
17,0.128,44
18,0.093,44
19,0.081,44
20,0.151,44
21,0.116,44
22,0.105,44
23,0.256,44
0,1.000,45
1,0.676,45
0,1.000,46
1,0.825,46
2,0.600,46
3,0.725,46
4,0.450,46
5,0.575,46
6,0.450,46
7,0.850,46
8,0.600,46
9,0.400,46
10,0.300,46
11,0.425,46
12,0.550,46
13,0.500,46
14,0.450,46
15,0.475,46
16,0.525,46
17,0.400,46
18,0.250,46
19,0.400,46
20,0.275,46
21,0.200,46
22,0.375,46
23,0.200,46
0,1.000,49
1,0.880,49
0,1.000,50
1,0.385,50
0,0.960,51
1,1.000,51
2,0.480,51
3,0.740,51
4,0.660,51
5,0.460,51
6,0.620,51
7,0.420,51
0,0.000,55
1,0.000,55
2,0.000,55
3,0.000,55
4,0.154,55
5,0.410,55
6,0.205,55
7,0.077,55
8,0.154,55
9,0.308,55
10,0.308,55
11,0.359,55
12,0.154,55
13,0.205,55
14,0.231,55
15,1.000,55
16,0.436,55
17,0.308,55
18,0.487,55
19,0.308,55
20,0.744,55
21,0.205,55
22,0.385,55
23,0.359,55
0,0.594,58
1,1.000,58
2,0.734,58
3,0.438,58
4,0.313,58
0,0.000,63
