date,value
2018-07-23,19
2018-05-30,2
2018-05-29,1
2018-05-28,1
2018-05-23,12
2018-05-03,11
2018-05-02,2
2018-04-26,2
2018-04-18,1
2018-03-28,2
2018-03-22,1
2018-03-21,1
2018-03-20,2
2018-03-19,2
2018-03-15,1
2018-03-06,1
2018-02-23,7
2018-02-22,1
2018-02-19,2
2018-02-14,1
2018-02-13,1
2018-01-31,7
2018-01-30,8
2018-01-29,4
2018-01-26,1
2018-01-25,2
2018-01-19,1
2018-01-15,1
2018-01-02,1
2018-01-01,1
2017-12-19,8
2017-12-15,3
2017-12-14,1
2017-12-12,2
2017-12-01,1
2017-11-24,1
2017-11-22,1
2017-11-21,1
2017-11-08,2
2017-11-01,3
2017-10-23,3
2017-10-20,3
2017-10-12,2
2017-10-11,4
2017-10-09,1
2017-10-04,2
2017-10-02,1
2017-09-29,4
2017-09-27,1
2017-09-22,2
2017-09-21,1
2017-09-04,1
2017-09-01,9
2017-08-30,1
2017-08-24,1
2017-08-15,2
2017-07-17,1
2017-07-12,2
2017-07-03,1
2017-07-02,1
2017-07-01,1
2017-06-30,2
2017-06-20,1
2017-06-13,1
2017-06-06,1
2017-05-19,2
2017-05-10,2
2017-05-09,1
2017-05-02,2
2017-04-19,1
2017-04-18,3
2017-04-13,6
2017-04-11,1
2017-04-10,1
2017-03-27,1
2017-03-09,1
2017-03-07,1
2017-03-04,1
2017-02-24,1
2017-02-23,1
2017-01-27,3
2017-01-26,1
2017-01-23,1
2017-01-19,1
2017-01-01,1
2016-12-31,3
2016-12-23,1
2016-12-22,1
2016-12-19,1
2016-12-15,5
2016-12-07,1
2016-12-06,1
2016-12-05,1
2016-12-01,1
2016-11-20,1
2016-11-09,1
2016-11-03,3
2016-11-01,2
2016-10-20,1
2016-10-06,1
2016-10-05,2
2016-09-16,9
2016-09-12,1
2016-08-30,5
2016-08-26,1
2016-08-08,1
2016-08-03,1
2016-07-25,1
2016-06-30,8
2016-06-23,1
2016-06-21,1
2016-06-15,2
2016-06-10,1
2016-06-09,1
2016-06-06,1
2016-06-01,1
2016-05-31,2
2016-05-24,2
2016-05-12,1
2016-05-11,1
2016-04-29,1
2016-04-27,1
2016-04-26,1
2016-04-15,9
2016-04-05,1
2016-04-02,2
2016-03-30,1
2016-03-22,7
2016-03-17,3
2016-03-15,3
2016-03-14,1
2016-03-07,4
2016-03-04,1
2016-03-02,2
2016-02-24,5
2016-02-19,2
2016-02-18,5
2016-02-09,1
2016-01-28,1
2016-01-14,1
2016-01-06,1
2015-12-31,46
2015-12-22,1
2015-12-18,1
2015-12-15,9
2015-12-07,2
2015-12-01,20
2015-11-13,4
2015-11-09,1
2015-11-05,1
2015-10-27,1
2015-10-14,3
2015-10-12,1
2015-09-22,1
2015-09-08,1
2015-09-03,2
2015-08-20,1
2015-08-03,2
2015-07-22,1
2015-07-14,2
2015-07-13,2
2015-07-08,1
2015-06-25,1
2015-06-23,1
2015-06-22,1
2015-06-12,1
2015-06-11,1
2015-05-22,2
2015-05-21,1
2015-05-18,2
2015-05-07,1
2015-04-28,1
2015-04-23,1
2015-04-15,1
2015-03-30,5
2015-03-20,1
2015-03-19,2
2015-03-17,1
2015-03-03,17
2015-02-26,2
2015-02-13,1
2015-02-10,4
2015-02-06,3
2015-02-02,1
2015-01-30,2
2015-01-29,2
2015-01-16,2
2015-01-01,1
2014-12-29,3
2014-12-15,5
2014-12-05,1
2014-12-01,1
2014-10-22,1
2014-10-21,1
2014-10-17,1
2014-10-16,1
2014-10-01,4
2014-09-29,1
2014-09-28,1
2014-09-12,1
2014-09-11,1
2014-08-14,1
2014-07-18,1
2014-07-14,2
2014-07-01,2
2014-06-24,1
2014-06-23,1
2014-06-17,1
2014-06-01,3
2014-05-14,30
2014-05-12,1
2014-05-09,1
2014-04-24,1
2014-04-15,4
2014-04-08,1
2014-04-07,1
2014-03-31,1
2014-03-30,6
2014-03-14,1
2014-03-06,2
2014-03-01,2
2014-02-28,1
2014-02-26,3
2014-02-19,403
2014-02-18,2
2014-02-10,1
2014-02-06,1
2014-02-05,1
2014-01-29,1
2014-01-06,3
2014-01-01,4
2013-12-31,1
2013-12-15,3
2013-12-12,1
2013-12-06,1
2013-12-01,1
2013-11-12,1
2013-11-04,1
2013-10-25,1
2013-10-24,1
2013-10-01,1
2013-09-30,1
2013-09-22,1
2013-09-20,2
2013-09-16,16
2013-09-10,1
2013-09-05,3
2013-08-27,1
2013-08-19,1
2013-08-14,4
2013-08-08,1
2013-07-22,1
2013-07-16,1
2013-07-10,1
2013-06-28,1
2013-06-20,1
2013-06-19,11
2013-06-18,17
2013-06-14,1
2013-05-30,1
2013-05-08,1
2013-05-06,1
2013-04-29,1
2013-04-26,1
2013-04-25,1
2013-04-19,1
2013-04-01,1
2013-03-29,6
2013-03-28,1
2013-02-27,2
2013-02-05,1
2013-01-30,2
2013-01-10,1
2013-01-07,1
