year,month,value
2014,0,0.5096634093376764
2014,1,0.7932681867535287
2014,2,0.6725298588490771
2014,3,0.6304017372421281
2014,4,0.8375678610206297
2014,5,0.859500542888165
2014,6,1
2014,7,0.7845819761129207
2014,8,0.8267100977198697
2014,9,0.8152008686210641
2014,10,0.7250814332247557
2014,11,0.6156351791530945
2015,0,0.6342234715390022
2015,1,0.7514054813773717
2015,2,0.8114898102600141
2015,3,0.6864019676739284
2015,4,0.8037596626844694
2015,5,1
2015,6,0.733485593815882
2015,7,0.5370695713281799
2015,8,0.7087139845397048
2015,9,0.7299718903724526
2015,10,0.7933942375263527
2015,11,0.6050597329585383
2016,0,0.7458766035430666
2016,1,0.8888210140500916
2016,2,1
2016,3,0.8883628588882101
2016,4,0.9105070250458155
2016,5,0.8540012217470984
2016,6,0.6892180818570556
2016,7,0.7547342700061087
2016,8,0.7968845448992059
2016,9,0.846212583995113
2016,10,0.7785583384239463
2016,11,0.7173182651191203
2017,0,0.6394381814821659
2017,1,0.550267972648309
2017,2,1
2017,3,0.7263906856403622
2017,4,0.6703012382184439
2017,5,0.6174459434485308
2017,6,0.5631121788948439
2017,7,0.635372389576788
2017,8,0.8550175568286823
2017,9,0.7168730364073185
2017,10,0.7437627055997043
2017,11,0.5839031602291628
